phrase_id,n,⟨k2⟩,<d>,q
0,37,6.8108108108108105,3.388888888888889,28
1,22,5.7272727272727275,2.5238095238095237,18
2,45,6.622222222222222,4.818181818181818,34
3,33,7.03030303030303,4.15625,28
4,13,4.769230769230769,2.25,10
5,10,4.6,1.7777777777777777,6
6,8,5.75,2.4285714285714284,6
7,40,6.45,3.5641025641025643,38
8,21,5.523809523809524,3.75,12
9,7,4.857142857142857,1.8333333333333333,6
10,29,5.448275862068965,4.464285714285714,22
11,22,5.636363636363637,3.5714285714285716,16
12,20,5.5,2.736842105263158,18
13,29,6.689655172413793,3.7142857142857144,22
14,15,4.8,3.0714285714285716,12
15,16,6.0,2.3333333333333335,12
16,11,4.545454545454546,2.6,6
17,38,6.421052631578948,3.5135135135135136,28
18,19,8.105263157894736,3.6666666666666665,14
19,25,6.0,4.958333333333333,22
20,20,5.1,3.4210526315789473,14
21,13,4.769230769230769,2.75,10
22,29,5.724137931034483,5.392857142857143,22
23,17,5.647058823529412,2.125,12
24,18,5.666666666666667,2.5294117647058822,14
25,20,6.4,3.1052631578947367,16
26,34,5.882352941176471,5.303030303030303,24
27,21,5.714285714285714,3.2,16
28,13,6.0,3.5,10
29,43,6.511627906976744,5.833333333333333,36
30,23,5.304347826086956,3.5,14
31,14,4.714285714285714,3.8461538461538463,10
32,19,5.052631578947368,4.333333333333333,12
33,30,6.533333333333333,4.482758620689655,24
34,23,6.608695652173913,4.181818181818182,20
35,19,4.947368421052632,3.5555555555555554,14
36,21,5.714285714285714,4.25,12
37,8,4.75,2.0,6
38,9,4.222222222222222,2.125,6
39,18,6.222222222222222,2.823529411764706,16
40,19,5.473684210526316,3.5,16
41,10,4.2,2.2222222222222223,6
42,20,5.7,3.1052631578947367,18
43,33,6.7272727272727275,4.5625,26
44,36,5.722222222222222,3.8857142857142857,26
45,36,5.611111111111111,3.6,22
46,14,5.142857142857143,4.461538461538462,12
47,25,5.28,3.75,16
48,19,5.052631578947368,5.277777777777778,12
49,35,5.771428571428571,3.6176470588235294,22
50,16,5.875,2.6666666666666665,14
51,24,6.666666666666667,3.0434782608695654,16
52,11,4.181818181818182,3.0,6
53,25,6.32,4.5,22
54,17,7.176470588235294,4.4375,14
55,29,5.655172413793103,2.892857142857143,24
56,45,5.911111111111111,4.045454545454546,34
57,14,4.428571428571429,3.3076923076923075,10
58,22,6.0,3.857142857142857,16
59,19,5.684210526315789,3.111111111111111,16
60,18,5.666666666666667,3.1176470588235294,14
61,13,6.3076923076923075,3.6666666666666665,10
62,9,4.666666666666667,2.125,6
63,5,3.2,1.25,4
64,14,5.428571428571429,2.769230769230769,12
65,14,5.857142857142857,2.5384615384615383,10
66,8,4.75,2.857142857142857,6
67,30,7.066666666666666,4.0,24
