phrase_id,n,⟨k2⟩,<d>,q
0,35,6.742857142857143,3.8529411764705883,28
1,18,5.777777777777778,3.0,16
2,37,6.756756756756757,4.111111111111111,34
3,40,6.75,4.897435897435898,34
4,12,5.166666666666667,2.909090909090909,10
5,18,6.111111111111111,3.235294117647059,14
6,9,4.888888888888889,3.125,8
7,37,6.108108108108108,3.9444444444444446,30
8,19,6.105263157894737,3.1666666666666665,16
9,8,5.0,2.2857142857142856,8
10,22,6.363636363636363,2.9523809523809526,16
11,18,6.666666666666667,2.9411764705882355,16
12,21,6.285714285714286,2.8,16
13,26,6.769230769230769,4.4,20
14,21,5.809523809523809,3.0,18
15,14,5.428571428571429,2.769230769230769,8
16,13,4.615384615384615,2.75,12
17,40,6.75,4.410256410256411,30
18,16,9.375,3.933333333333333,14
19,26,7.076923076923077,4.96,20
20,19,5.368421052631579,3.1666666666666665,14
21,17,5.882352941176471,3.25,16
22,32,5.875,4.129032258064516,24
23,16,7.5,3.6666666666666665,12
24,15,5.333333333333333,3.0714285714285716,12
25,15,5.6,3.2857142857142856,12
26,24,4.75,3.217391304347826,18
27,23,5.739130434782608,3.3181818181818183,16
28,14,6.0,3.6153846153846154,12
29,35,8.17142857142857,4.764705882352941,26
30,26,5.615384615384615,3.56,22
31,15,5.066666666666666,2.7142857142857144,12
32,19,5.2631578947368425,2.888888888888889,16
33,22,5.181818181818182,2.857142857142857,18
34,20,6.5,3.6842105263157894,14
35,24,6.166666666666667,3.217391304347826,20
36,20,6.0,3.263157894736842,16
37,8,7.0,2.5714285714285716,8
38,9,4.222222222222222,2.0,6
39,16,6.0,2.6666666666666665,16
40,18,5.222222222222222,2.7058823529411766,14
41,10,6.4,2.5555555555555554,8
42,18,6.666666666666667,3.411764705882353,12
43,36,6.444444444444445,3.6857142857142855,28
44,33,7.090909090909091,3.8125,26
45,33,5.9393939393939394,3.0,28
46,15,5.333333333333333,3.357142857142857,12
47,28,5.357142857142857,2.7777777777777777,22
48,21,5.809523809523809,3.95,18
49,37,7.081081081081081,4.972222222222222,30
50,16,5.25,3.0,12
51,24,5.583333333333333,3.869565217391304,22
52,13,5.538461538461538,3.25,12
53,30,5.933333333333334,3.2758620689655173,22
54,16,6.375,2.8,14
55,33,5.393939393939394,3.15625,22
56,39,6.0,3.4210526315789473,34
57,15,4.4,2.357142857142857,10
58,27,6.444444444444445,5.230769230769231,22
59,20,6.1,2.736842105263158,14
60,17,7.411764705882353,3.1875,14
61,17,9.058823529411764,3.875,14
62,11,4.909090909090909,2.3,10
63,4,3.0,2.0,4
64,19,8.842105263157896,4.5,16
65,14,5.714285714285714,2.8461538461538463,12
66,7,4.0,1.6666666666666667,4
67,28,9.714285714285714,5.555555555555555,24
68,24,5.833333333333333,3.5217391304347827,20
69,13,6.153846153846154,2.5833333333333335,12
70,30,5.6,3.6551724137931036,20
71,22,5.545454545454546,2.857142857142857,18
72,29,6.137931034482759,3.75,22
73,24,6.25,3.869565217391304,22
74,33,6.545454545454546,4.125,24
75,14,5.571428571428571,3.1538461538461537,10
76,24,6.583333333333333,4.173913043478261,22
77,17,5.0588235294117645,3.25,14
78,15,4.666666666666667,2.857142857142857,10
79,24,5.166666666666667,2.869565217391304,20
80,22,6.818181818181818,3.4761904761904763,18
81,14,5.0,3.1538461538461537,10
82,25,5.84,4.041666666666667,18
83,38,6.631578947368421,4.351351351351352,32
84,21,6.285714285714286,3.5,16
85,39,5.897435897435898,3.3421052631578947,30
86,23,5.391304347826087,3.272727272727273,20
87,30,7.8,5.862068965517241,26
88,23,5.391304347826087,2.8636363636363638,20
89,29,4.896551724137931,2.5,22
90,29,6.206896551724138,3.25,24
91,15,5.866666666666666,3.5714285714285716,12
92,33,6.0,3.09375,26
93,41,6.780487804878049,6.0,34
94,26,5.846153846153846,3.36,20
95,34,6.352941176470588,4.03030303030303,24
96,12,5.833333333333333,3.8181818181818183,10
97,21,5.619047619047619,2.85,18
98,30,6.4,3.6206896551724137,24
99,20,7.4,3.263157894736842,20
100,22,8.545454545454545,4.714285714285714,20
101,33,6.0606060606060606,3.375,28
102,23,6.0,2.9545454545454546,18
103,36,6.722222222222222,3.7142857142857144,26
104,18,5.222222222222222,2.8823529411764706,14
105,34,7.176470588235294,4.151515151515151,32
106,24,6.083333333333333,3.260869565217391,18
107,34,5.352941176470588,3.606060606060606,26
108,24,5.583333333333333,3.782608695652174,18
109,38,8.894736842105264,5.594594594594595,30
110,28,5.642857142857143,3.8518518518518516,22
111,11,5.2727272727272725,2.3,6
112,16,5.5,2.8,12
113,20,5.8,2.8421052631578947,20
114,10,4.6,2.111111111111111,6
115,33,5.878787878787879,4.53125,26
116,41,6.585365853658536,4.525,30
117,26,7.153846153846154,4.2,26
118,31,5.548387096774194,2.8666666666666667,24
119,8,4.75,1.8571428571428572,6
120,25,6.08,4.0,20
121,10,4.4,2.2222222222222223,8
122,34,5.823529411764706,3.787878787878788,26
123,18,5.111111111111111,2.6470588235294117,16
124,18,6.444444444444445,3.0588235294117645,12
125,6,4.0,2.0,4
126,27,5.851851851851852,4.384615384615385,22
127,21,6.761904761904762,4.1,18
128,25,6.96,2.9166666666666665,22
129,13,6.923076923076923,3.25,10
130,24,7.083333333333333,3.1739130434782608,18
131,14,4.857142857142857,2.6153846153846154,12
132,17,5.0588235294117645,2.6875,14
133,27,6.814814814814815,4.346153846153846,24
134,16,7.875,3.2666666666666666,14
135,22,5.909090909090909,3.3333333333333335,18
136,8,4.75,1.8571428571428572,6
137,20,6.1,2.8947368421052633,14
138,29,5.931034482758621,3.107142857142857,24
139,27,6.37037037037037,3.6923076923076925,24
140,15,5.066666666666666,2.642857142857143,12
141,18,5.0,2.764705882352941,14
142,32,6.1875,5.096774193548387,22
143,27,6.0,4.3076923076923075,22
144,36,6.833333333333333,4.142857142857143,34
145,19,5.894736842105263,3.888888888888889,16
146,25,7.04,3.2083333333333335,20
147,19,5.368421052631579,3.3333333333333335,18
148,13,4.923076923076923,2.25,12
149,5,3.2,1.5,4
150,16,5.5,2.6666666666666665,12
151,24,5.5,3.260869565217391,20
152,26,6.153846153846154,4.08,24
153,23,5.826086956521739,3.8181818181818183,18
154,17,6.235294117647059,2.9375,14
155,20,7.0,2.9473684210526314,16
156,29,5.655172413793103,2.857142857142857,20
157,17,5.176470588235294,2.625,16
158,37,6.0,3.388888888888889,30
159,15,5.2,2.5714285714285716,10
160,16,6.125,3.8666666666666667,14
161,14,4.857142857142857,2.923076923076923,12
162,27,5.481481481481482,3.0384615384615383,20
163,21,6.476190476190476,3.4,16
164,12,5.166666666666667,2.272727272727273,10
165,23,5.565217391304348,3.0454545454545454,20
166,24,5.916666666666667,2.8260869565217392,18
167,18,5.666666666666667,3.235294117647059,14
168,16,6.375,3.533333333333333,14
169,9,4.666666666666667,1.875,6
170,17,6.352941176470588,4.0,16
171,5,4.0,1.5,4
172,29,5.862068965517241,3.0357142857142856,26
173,14,5.428571428571429,3.4615384615384617,12
174,9,4.444444444444445,2.875,8
175,28,7.714285714285714,3.2962962962962963,24
176,7,4.285714285714286,2.1666666666666665,6
177,16,5.125,3.533333333333333,14
178,10,4.8,3.0,8
179,21,6.476190476190476,2.85,16
180,15,5.733333333333333,3.2142857142857144,14
181,18,6.333333333333333,3.3529411764705883,14
