phrase_id,n,⟨k2⟩,<d>,q
0,32,7.125,3.967741935483871,28
1,23,5.565217391304348,4.590909090909091,16
2,33,5.878787878787879,4.46875,26
3,40,7.2,4.871794871794871,32
4,10,4.8,2.4444444444444446,8
5,13,5.846153846153846,3.5,12
6,9,4.666666666666667,2.875,6
7,34,5.823529411764706,5.666666666666667,22
8,22,6.7272727272727275,4.9523809523809526,16
9,7,4.857142857142857,2.3333333333333335,6
10,22,5.909090909090909,3.2857142857142856,18
11,26,6.3076923076923075,4.04,20
12,25,5.76,3.5833333333333335,20
13,26,6.0,3.84,24
14,18,5.777777777777778,4.0,16
15,17,5.882352941176471,4.0625,12
16,12,5.833333333333333,4.636363636363637,10
17,35,6.628571428571429,5.470588235294118,28
18,15,7.733333333333333,4.0,12
19,31,7.419354838709677,4.966666666666667,26
20,23,5.6521739130434785,3.5,18
21,11,5.2727272727272725,3.8,10
22,32,6.5625,6.225806451612903,26
23,18,5.888888888888889,3.411764705882353,14
24,15,4.933333333333334,3.5,10
25,17,6.470588235294118,4.1875,14
26,26,5.6923076923076925,3.92,20
27,21,5.428571428571429,2.95,18
28,16,6.125,4.066666666666666,14
29,36,6.944444444444445,4.857142857142857,26
30,23,5.913043478260869,3.6363636363636362,20
31,17,6.352941176470588,4.0625,16
32,21,5.428571428571429,2.8,18
33,22,6.363636363636363,3.9523809523809526,16
34,19,6.2105263157894735,3.611111111111111,14
35,24,6.083333333333333,5.086956521739131,18
36,24,5.416666666666667,3.6956521739130435,18
37,7,6.0,2.6666666666666665,6
38,9,4.222222222222222,2.5,6
39,15,5.866666666666666,2.642857142857143,12
40,13,4.923076923076923,2.4166666666666665,8
41,8,4.75,2.5714285714285716,6
42,16,6.0,3.466666666666667,12
43,36,7.0,4.542857142857143,28
44,41,6.926829268292683,4.3,36
45,29,6.413793103448276,4.928571428571429,26
46,16,5.75,3.3333333333333335,12
47,33,5.818181818181818,3.53125,28
48,24,5.5,4.826086956521739,20
49,42,6.666666666666667,4.780487804878049,32
50,15,5.333333333333333,3.642857142857143,12
51,27,7.111111111111111,4.076923076923077,24
52,13,5.076923076923077,4.5,10
53,25,5.52,4.291666666666667,18
54,14,5.714285714285714,4.538461538461538,12
55,37,5.45945945945946,3.3333333333333335,30
56,41,6.829268292682927,5.55,32
57,16,5.0,2.933333333333333,12
58,27,6.296296296296297,4.769230769230769,22
59,22,6.909090909090909,3.9047619047619047,16
60,19,6.526315789473684,3.2777777777777777,16
61,16,5.5,2.933333333333333,12
62,12,5.5,3.0,10
63,4,3.0,2.0,4
64,16,5.0,3.3333333333333335,12
65,15,6.533333333333333,3.2142857142857144,14
66,6,4.0,1.6,4
67,23,7.130434782608695,4.318181818181818,20
68,26,7.923076923076923,6.84,22
69,13,5.076923076923077,3.1666666666666665,10
70,32,6.0625,4.870967741935484,26
71,24,5.833333333333333,3.5652173913043477,20
72,28,6.214285714285714,4.074074074074074,22
73,24,6.75,4.260869565217392,22
74,34,6.411764705882353,6.181818181818182,30
