phrase_id,n,⟨k2⟩,<d>,q
0,42,6.714285714285714,4.170731707317073,34
1,22,6.2727272727272725,3.761904761904762,18
2,44,6.909090909090909,4.651162790697675,36
3,42,7.142857142857143,4.073170731707317,32
4,15,5.466666666666667,2.0714285714285716,14
5,20,7.0,2.789473684210526,16
6,10,4.6,1.5555555555555556,6
7,44,6.181818181818182,5.1395348837209305,36
8,22,5.636363636363637,3.1904761904761907,16
9,7,4.857142857142857,1.8333333333333333,6
10,27,6.074074074074074,3.423076923076923,20
11,17,5.411764705882353,3.625,16
12,25,6.0,4.666666666666667,22
13,32,7.4375,3.5806451612903225,26
14,20,5.2,2.5789473684210527,12
15,19,5.894736842105263,3.7222222222222223,16
16,12,4.833333333333333,2.090909090909091,10
17,49,6.571428571428571,4.708333333333333,38
18,16,7.375,2.933333333333333,14
19,31,7.161290322580645,5.266666666666667,22
20,16,5.875,3.0,14
21,19,5.052631578947368,2.2777777777777777,16
22,32,5.875,6.0,24
23,15,6.933333333333334,2.9285714285714284,12
24,15,6.666666666666667,2.9285714285714284,12
25,19,5.368421052631579,2.7222222222222223,14
26,25,5.04,5.583333333333333,22
27,27,6.0,2.576923076923077,18
28,20,6.3,3.736842105263158,14
29,36,6.388888888888889,4.457142857142857,26
30,26,5.846153846153846,4.08,20
31,26,5.153846153846154,4.08,18
32,23,4.956521739130435,2.6818181818181817,18
33,31,6.32258064516129,4.433333333333334,20
34,29,6.0,4.464285714285714,22
35,29,6.206896551724138,3.7142857142857144,20
36,23,5.304347826086956,2.9545454545454546,14
37,10,4.8,2.3333333333333335,8
38,10,4.8,2.6666666666666665,8
39,18,6.333333333333333,2.3529411764705883,14
40,19,5.578947368421052,3.7222222222222223,14
41,10,5.6,2.3333333333333335,8
42,26,6.6923076923076925,5.04,22
43,38,6.105263157894737,5.162162162162162,28
44,43,6.790697674418604,4.333333333333333,32
45,34,5.588235294117647,4.878787878787879,22
46,20,5.9,4.526315789473684,14
47,34,6.411764705882353,4.121212121212121,26
48,24,5.166666666666667,4.565217391304348,16
49,40,5.55,3.717948717948718,30
50,17,6.470588235294118,3.1875,14
51,23,5.565217391304348,4.409090909090909,16
52,14,5.857142857142857,2.923076923076923,10
53,28,5.5,3.0,22
54,13,4.615384615384615,2.1666666666666665,8
55,42,6.476190476190476,4.609756097560975,36
56,50,7.56,4.816326530612245,38
57,18,5.444444444444445,2.2941176470588234,14
58,31,5.483870967741935,5.033333333333333,22
59,28,6.714285714285714,5.333333333333333,20
60,19,5.578947368421052,4.055555555555555,14
61,20,7.3,4.631578947368421,18
62,18,5.666666666666667,2.764705882352941,14
63,5,3.2,1.25,4
64,18,5.222222222222222,3.0,14
65,23,7.217391304347826,4.045454545454546,18
66,8,4.75,1.8571428571428572,6
67,29,8.89655172413793,4.571428571428571,26
68,30,6.866666666666666,6.448275862068965,22
69,17,5.529411764705882,3.0625,14
70,35,5.2,4.5,22
71,27,5.407407407407407,2.8076923076923075,18
72,34,6.0588235294117645,4.393939393939394,26
73,28,6.0,4.148148148148148,20
74,36,7.0,4.2,24
75,17,5.294117647058823,2.6875,14
76,26,5.923076923076923,4.72,22
77,18,5.111111111111111,3.0588235294117645,12
78,25,5.76,4.083333333333333,20
79,28,5.071428571428571,3.3703703703703702,22
80,26,6.615384615384615,4.36,24
81,13,4.615384615384615,2.5,8
82,25,6.64,3.5416666666666665,22
83,45,6.488888888888889,4.454545454545454,32
84,19,5.2631578947368425,4.0,16
85,50,6.64,5.183673469387755,36
86,34,5.529411764705882,3.9696969696969697,24
87,29,5.931034482758621,6.285714285714286,24
88,32,5.6875,4.903225806451613,22
89,39,5.17948717948718,4.947368421052632,26
90,35,6.4,6.411764705882353,28
91,15,6.0,2.9285714285714284,14
92,45,7.2,5.909090909090909,40
93,46,6.695652173913044,6.333333333333333,36
94,30,6.533333333333333,4.0,24
95,41,6.195121951219512,4.325,30
96,13,4.769230769230769,2.6666666666666665,10
97,23,5.6521739130434785,3.272727272727273,18
98,38,6.894736842105263,3.675675675675676,26
99,22,5.454545454545454,3.857142857142857,16
100,24,5.5,4.130434782608695,16
101,38,5.7894736842105265,2.5135135135135136,28
102,37,5.945945945945946,4.055555555555555,28
103,41,7.073170731707317,3.725,30
104,17,4.823529411764706,3.4375,14
105,35,6.4,4.735294117647059,28
106,21,5.428571428571429,3.4,18
107,47,5.829787234042553,4.282608695652174,38
108,25,5.92,4.125,20
109,44,7.2727272727272725,4.6976744186046515,36
110,35,5.2,3.6470588235294117,22
111,11,4.909090909090909,2.0,10
112,18,5.222222222222222,2.176470588235294,14
113,30,6.066666666666666,4.517241379310345,26
114,13,6.153846153846154,2.25,12
115,42,6.142857142857143,4.804878048780488,34
116,52,6.6923076923076925,4.490196078431373,44
117,34,6.9411764705882355,4.090909090909091,28
118,37,6.162162162162162,4.444444444444445,28
119,7,3.7142857142857144,1.5,6
120,31,6.387096774193548,3.7,22
121,13,4.615384615384615,1.75,8
122,40,5.6,3.871794871794872,28
123,21,5.333333333333333,3.45,16
124,23,5.304347826086956,4.090909090909091,14
125,6,4.0,1.4,4
126,28,5.785714285714286,4.444444444444445,22
127,20,5.6,3.1052631578947367,16
128,30,5.266666666666667,3.2413793103448274,22
129,13,5.384615384615385,3.75,10
130,29,7.103448275862069,3.5714285714285716,22
131,14,5.142857142857143,1.9230769230769231,12
132,17,5.176470588235294,2.8125,12
133,30,6.666666666666667,6.137931034482759,24
134,14,5.714285714285714,3.0,12
135,29,6.0,4.142857142857143,18
136,8,4.0,1.7142857142857142,4
137,24,6.083333333333333,4.086956521739131,18
138,37,6.054054054054054,3.5833333333333335,28
139,33,6.0,3.90625,26
140,18,5.555555555555555,2.7058823529411766,12
141,28,5.5,3.1481481481481484,22
142,37,5.837837837837838,4.555555555555555,24
143,25,6.48,3.625,18
144,41,7.560975609756097,4.55,34
145,22,5.545454545454546,4.095238095238095,18
146,38,6.473684210526316,3.135135135135135,30
147,27,6.296296296296297,4.0,18
148,13,4.615384615384615,2.9166666666666665,8
149,7,6.0,2.0,6
150,17,4.823529411764706,2.5625,14
151,29,5.586206896551724,3.9642857142857144,26
152,31,6.129032258064516,4.2,26
153,25,5.44,2.9166666666666665,20
154,14,4.571428571428571,3.923076923076923,12
155,27,5.777777777777778,4.346153846153846,20
156,41,6.487804878048781,3.725,34
157,18,5.777777777777778,3.411764705882353,16
158,38,5.631578947368421,3.7567567567567566,30
