phrase_id,n,⟨k2⟩,<d>,q
0,29,6.137931034482759,3.25,22
1,15,4.533333333333333,2.2142857142857144,12
2,34,6.705882352941177,2.727272727272727,28
3,30,6.133333333333334,3.8620689655172415,24
4,10,4.8,2.0,8
5,17,6.823529411764706,3.25,16
6,12,5.166666666666667,2.727272727272727,10
7,28,5.428571428571429,2.7777777777777777,20
8,17,5.176470588235294,2.875,12
9,8,4.75,2.857142857142857,6
10,22,5.090909090909091,2.380952380952381,16
11,19,6.105263157894737,3.2222222222222223,16
12,16,4.875,1.7333333333333334,14
13,25,5.68,3.4166666666666665,18
14,15,5.333333333333333,2.857142857142857,8
15,13,5.6923076923076925,3.0,10
16,11,4.7272727272727275,2.1,8
17,33,6.242424242424242,3.625,26
18,17,7.411764705882353,3.625,14
19,26,6.461538461538462,3.6,20
20,17,5.294117647058823,2.75,14
21,15,5.6,2.5,12
22,34,5.470588235294118,3.484848484848485,30
23,19,6.631578947368421,4.166666666666667,14
24,12,4.833333333333333,2.6363636363636362,10
25,16,6.125,2.6,14
26,21,5.714285714285714,2.85,16
27,22,4.818181818181818,2.8095238095238093,14
28,13,5.538461538461538,3.3333333333333335,8
29,34,6.411764705882353,3.5454545454545454,26
30,21,5.904761904761905,3.6,16
31,16,5.5,2.8666666666666667,12
32,15,4.4,2.357142857142857,10
33,25,5.28,2.9583333333333335,16
34,24,6.416666666666667,3.739130434782609,18
35,19,6.315789473684211,3.0555555555555554,16
36,17,5.647058823529412,3.4375,12
37,7,4.857142857142857,2.6666666666666665,6
38,8,4.25,2.0,6
39,11,5.454545454545454,2.1,8
40,19,6.421052631578948,3.3333333333333335,14
41,7,6.0,2.1666666666666665,6
42,17,5.529411764705882,3.25,14
43,29,5.931034482758621,2.7142857142857144,24
44,34,6.117647058823529,3.212121212121212,24
45,27,5.777777777777778,2.923076923076923,20
46,16,5.875,2.6666666666666665,14
47,29,5.241379310344827,2.7142857142857144,20
48,21,5.0476190476190474,2.95,14
49,31,5.419354838709677,3.4,20
50,15,4.8,3.2142857142857144,12
51,20,5.8,3.526315789473684,16
52,11,4.909090909090909,2.6,10
53,21,4.666666666666667,2.5,14
54,14,4.857142857142857,2.230769230769231,12
55,30,5.466666666666667,3.0,20
56,43,5.813953488372093,2.8333333333333335,34
57,13,4.3076923076923075,2.1666666666666665,8
58,22,7.545454545454546,3.1904761904761907,18
59,17,6.352941176470588,3.1875,12
60,14,6.714285714285714,2.5384615384615383,10
61,13,6.0,2.5,10
62,10,4.8,2.3333333333333335,8
63,4,3.0,2.0,4
64,16,5.25,3.066666666666667,12
65,16,5.25,2.7333333333333334,12
66,9,5.555555555555555,2.25,6
67,24,6.0,3.5217391304347827,20
68,24,6.0,3.9130434782608696,16
69,12,5.666666666666667,2.5454545454545454,12
70,28,5.714285714285714,3.185185185185185,20
71,19,5.157894736842105,2.7777777777777777,14
72,27,7.703703703703703,3.8076923076923075,24
73,20,6.8,2.8947368421052633,16
74,25,6.08,4.375,20
75,10,4.8,2.6666666666666665,8
76,21,6.190476190476191,2.35,18
77,13,5.6923076923076925,2.6666666666666665,10
78,19,5.368421052631579,3.3333333333333335,14
79,17,4.588235294117647,2.5,14
80,23,5.913043478260869,3.409090909090909,20
81,12,4.5,2.1818181818181817,10
82,22,5.818181818181818,3.761904761904762,16
83,38,5.631578947368421,4.108108108108108,26
84,15,5.333333333333333,2.642857142857143,12
85,38,5.631578947368421,2.1621621621621623,26
86,26,6.153846153846154,3.28,20
87,22,5.545454545454546,3.5238095238095237,18
88,25,5.68,3.0,18
89,25,5.04,2.5,18
90,25,5.12,4.625,20
91,12,5.5,2.4545454545454546,10
92,32,6.3125,3.193548387096774,26
93,45,5.866666666666666,4.954545454545454,32
94,25,6.64,3.0,18
95,37,5.675675675675675,2.2777777777777777,26
96,14,6.0,3.076923076923077,12
97,20,5.5,3.1578947368421053,14
98,32,6.0,3.3225806451612905,20
99,21,5.809523809523809,3.1,18
100,15,5.6,2.7857142857142856,12
101,34,5.235294117647059,3.090909090909091,26
102,24,6.083333333333333,4.695652173913044,18
103,36,5.777777777777778,3.4571428571428573,28
104,15,6.133333333333334,2.7857142857142856,12
105,25,5.84,3.875,22
106,17,5.176470588235294,2.4375,12
107,29,5.724137931034483,3.5714285714285716,22
108,22,5.909090909090909,3.1904761904761907,14
109,34,6.0,4.242424242424242,24
110,25,5.68,2.8333333333333335,18
111,11,6.181818181818182,2.5,8
112,19,5.894736842105263,3.0555555555555554,16
113,19,5.578947368421052,2.5555555555555554,18
114,14,6.714285714285714,2.6923076923076925,14
115,40,5.7,3.769230769230769,28
116,38,6.0,3.5135135135135136,28
117,23,7.739130434782608,3.227272727272727,18
118,23,5.478260869565218,2.6363636363636362,22
119,6,5.0,2.2,6
120,23,6.521739130434782,3.8181818181818183,18
121,10,5.6,3.3333333333333335,8
122,40,5.55,3.6923076923076925,34
123,14,5.142857142857143,2.230769230769231,12
124,16,5.5,2.533333333333333,12
125,6,4.0,2.0,4
126,24,5.75,3.652173913043478,18
127,17,5.647058823529412,2.75,12
128,21,5.714285714285714,2.5,16
129,12,5.5,2.5454545454545454,10
130,20,5.8,3.1052631578947367,16
131,16,4.875,2.6666666666666665,14
132,17,4.9411764705882355,2.3125,12
133,27,6.296296296296297,3.8076923076923075,22
134,11,6.7272727272727275,2.8,10
135,17,5.411764705882353,3.0625,12
136,6,5.0,2.2,6
137,20,5.8,2.736842105263158,20
138,30,5.533333333333333,2.8620689655172415,18
139,18,5.888888888888889,2.9411764705882355,14
140,17,4.9411764705882355,2.375,16
141,20,5.5,3.210526315789474,14
142,29,5.931034482758621,4.857142857142857,20
143,21,6.380952380952381,3.75,18
144,44,6.909090909090909,4.1395348837209305,40
145,15,4.4,3.7142857142857144,10
146,25,5.44,3.375,20
147,19,5.473684210526316,2.3333333333333335,16
148,9,4.888888888888889,2.0,8
149,4,3.0,1.3333333333333333,4
150,17,5.882352941176471,3.125,12
151,24,6.5,3.3043478260869565,20
152,21,5.238095238095238,3.15,18
153,18,5.0,2.2941176470588234,14
154,11,4.545454545454546,2.7,6
155,23,5.565217391304348,2.772727272727273,16
156,29,5.862068965517241,3.142857142857143,26
157,16,5.625,2.533333333333333,14
158,21,5.333333333333333,2.55,16
159,15,4.933333333333334,2.2857142857142856,14
160,13,4.923076923076923,2.3333333333333335,12
161,12,4.333333333333333,2.3636363636363638,8
162,23,5.391304347826087,3.227272727272727,20
163,16,5.625,3.066666666666667,10
164,13,4.461538461538462,2.3333333333333335,10
165,19,5.578947368421052,2.8333333333333335,14
166,25,5.92,2.875,20
167,14,4.714285714285714,2.6153846153846154,10
168,14,6.571428571428571,3.230769230769231,12
169,9,4.666666666666667,1.75,6
170,14,5.714285714285714,3.1538461538461537,12
171,5,4.0,1.5,4
172,20,5.2,2.8421052631578947,16
173,16,5.0,2.6666666666666665,12
174,7,4.0,2.3333333333333335,4
175,25,6.96,3.2083333333333335,18
176,7,4.285714285714286,2.1666666666666665,6
177,16,6.125,2.8,14
178,15,4.933333333333334,3.5,14
179,17,5.647058823529412,2.75,12
180,12,5.166666666666667,2.4545454545454546,10
181,16,5.875,2.7333333333333334,14
182,20,5.4,3.0526315789473686,16
183,17,6.470588235294118,2.9375,10
184,17,6.0,2.8125,14
185,16,5.75,2.466666666666667,12
186,25,5.6,3.625,16
187,6,4.0,1.8,4
188,7,3.7142857142857144,2.0,6
189,18,6.666666666666667,2.7058823529411766,16
190,17,4.9411764705882355,2.3125,12
191,22,5.636363636363637,3.2857142857142856,20
192,23,5.6521739130434785,3.0454545454545454,22
193,18,5.444444444444445,2.5294117647058822,14
194,9,4.888888888888889,2.0,8
195,22,5.545454545454546,3.1904761904761907,18
196,31,5.806451612903226,3.3333333333333335,24
197,26,6.153846153846154,3.2,20
198,21,5.142857142857143,2.7,16
199,13,5.538461538461538,2.3333333333333335,12
200,17,6.0,3.125,14
201,22,5.636363636363637,3.1904761904761907,16
202,15,5.6,3.0714285714285716,12
203,21,4.380952380952381,2.55,12
204,20,6.0,2.5789473684210527,16
205,13,4.615384615384615,2.3333333333333335,8
206,12,5.166666666666667,2.4545454545454546,10
207,23,5.478260869565218,3.090909090909091,18
208,15,4.933333333333334,2.9285714285714284,14
209,5,4.0,1.75,4
210,16,5.75,2.6666666666666665,12
211,14,6.0,3.076923076923077,12
212,26,5.538461538461538,3.0,20
213,8,5.0,1.7142857142857142,8
214,16,5.25,3.066666666666667,12
215,20,5.3,2.6842105263157894,14
216,12,4.833333333333333,2.5454545454545454,10
217,23,5.913043478260869,3.3181818181818183,16
218,32,5.8125,3.4193548387096775,22
219,32,6.25,3.193548387096774,28
220,18,5.777777777777778,3.0588235294117645,16
221,28,6.357142857142857,3.4444444444444446,22
222,24,6.583333333333333,3.4782608695652173,18
223,11,5.090909090909091,2.3,8
224,6,5.0,1.8,6
225,27,5.555555555555555,3.1538461538461537,22
226,25,5.44,3.1666666666666665,16
227,20,6.3,3.263157894736842,14
228,20,5.9,3.4210526315789473,14
229,5,3.2,1.5,4
230,5,3.2,1.25,4
231,32,5.8125,3.6451612903225805,22
232,21,5.904761904761905,3.1,16
233,8,4.75,2.5714285714285716,6
234,10,5.6,2.0,8
235,24,4.666666666666667,2.739130434782609,20
236,23,5.565217391304348,4.045454545454546,16
237,23,5.739130434782608,3.0,20
238,22,4.909090909090909,2.6666666666666665,12
239,6,4.0,2.0,4
240,11,4.909090909090909,2.0,10
241,11,5.090909090909091,2.6,8
242,8,4.0,2.0,8
243,26,5.769230769230769,3.36,18
244,37,6.324324324324325,4.111111111111111,30
245,18,5.666666666666667,2.9411764705882355,14
246,18,5.0,2.823529411764706,14
247,24,5.75,3.0,18
248,20,5.3,3.1578947368421053,18
249,11,4.363636363636363,2.2,8
250,26,6.769230769230769,3.68,20
251,10,5.2,2.2222222222222223,8
252,28,5.5,2.5185185185185186,22
253,12,5.5,2.5454545454545454,10
254,19,6.0,3.0,14
255,14,5.714285714285714,2.3076923076923075,12
256,13,6.0,2.9166666666666665,10
257,20,5.6,4.105263157894737,16
258,18,6.444444444444445,3.2941176470588234,16
259,25,5.52,2.875,18
260,26,6.153846153846154,3.52,20
261,20,5.4,2.736842105263158,16
262,18,5.555555555555555,2.8823529411764706,16
263,26,6.6923076923076925,3.52,22
264,25,6.72,3.5416666666666665,20
265,16,5.0,2.8666666666666667,12
266,18,5.333333333333333,2.7058823529411766,16
267,23,5.565217391304348,3.0,16
268,10,6.4,3.6666666666666665,8
269,21,4.761904761904762,2.45,16
270,12,5.166666666666667,2.272727272727273,10
271,19,4.7368421052631575,2.388888888888889,14
272,18,5.888888888888889,2.6470588235294117,14
273,25,5.6,2.125,12
