phrase_id,n,⟨k2⟩,<d>,q
0,39,6.769230769230769,3.789473684210526,32
1,16,5.375,2.466666666666667,14
2,35,6.628571428571429,2.676470588235294,32
3,39,6.923076923076923,4.2894736842105265,34
4,10,5.0,2.3333333333333335,10
5,15,4.8,3.2857142857142856,12
6,7,3.7142857142857144,2.0,6
7,38,6.105263157894737,3.1621621621621623,28
8,21,5.714285714285714,3.1,16
9,7,4.285714285714286,2.3333333333333335,6
10,21,5.142857142857143,2.3,16
11,17,5.0588235294117645,2.6875,14
12,14,4.428571428571429,2.3076923076923075,10
13,22,6.0,3.4285714285714284,20
14,18,5.333333333333333,2.823529411764706,12
15,14,5.571428571428571,2.6153846153846154,10
16,15,4.933333333333334,2.9285714285714284,10
17,33,6.7272727272727275,4.0625,26
18,16,6.875,3.3333333333333335,14
19,24,7.0,4.521739130434782,20
20,17,5.0588235294117645,3.0625,10
21,13,4.769230769230769,2.1666666666666665,10
22,30,5.666666666666667,4.689655172413793,22
23,12,8.333333333333334,3.090909090909091,12
24,14,4.857142857142857,2.3076923076923075,12
25,13,4.769230769230769,2.5,10
26,21,4.857142857142857,2.95,14
27,21,4.761904761904762,2.55,16
28,10,4.8,3.6666666666666665,8
29,37,6.54054054054054,4.277777777777778,26
30,20,5.2,2.5789473684210527,16
31,16,5.0,2.533333333333333,12
32,16,5.0,2.3333333333333335,12
33,25,6.16,3.5416666666666665,18
34,21,6.9523809523809526,3.65,14
35,23,5.304347826086956,2.772727272727273,14
36,18,6.222222222222222,3.176470588235294,16
37,6,4.0,1.6,4
38,9,4.222222222222222,2.125,6
39,16,5.875,2.7333333333333334,14
40,18,4.888888888888889,2.411764705882353,12
41,9,5.555555555555555,2.5,6
42,19,6.2105263157894735,2.888888888888889,14
43,31,5.548387096774194,2.9,24
44,30,6.4,3.2758620689655173,24
45,29,5.448275862068965,2.892857142857143,22
46,15,4.8,2.857142857142857,12
47,22,5.181818181818182,2.7142857142857144,14
48,19,5.2631578947368425,3.611111111111111,12
49,35,6.628571428571429,4.676470588235294,28
50,14,4.285714285714286,2.0,8
51,19,5.157894736842105,3.111111111111111,14
52,15,4.533333333333333,2.5714285714285716,8
53,28,5.285714285714286,2.925925925925926,20
54,12,4.666666666666667,1.9090909090909092,8
55,38,5.7894736842105265,3.675675675675676,32
56,38,5.473684210526316,3.2432432432432434,28
57,16,4.875,2.466666666666667,14
58,23,5.826086956521739,4.636363636363637,18
59,18,6.444444444444445,3.235294117647059,12
60,14,6.0,2.4615384615384617,12
