phrase_id,n,⟨k2⟩,<d>,q
0,41,7.073170731707317,3.5,34
1,18,5.333333333333333,3.176470588235294,16
2,47,6.680851063829787,3.9782608695652173,38
3,36,6.111111111111111,4.542857142857143,28
4,14,5.714285714285714,2.5384615384615383,12
5,14,5.285714285714286,2.6923076923076925,10
6,10,5.2,2.0,8
7,45,6.711111111111111,3.5681818181818183,38
8,26,6.769230769230769,3.2,20
9,11,6.363636363636363,3.1,10
10,30,5.4,2.7241379310344827,22
11,32,5.9375,3.806451612903226,26
12,35,6.114285714285714,3.9705882352941178,30
13,29,6.551724137931035,4.464285714285714,22
14,24,5.166666666666667,4.130434782608695,20
15,16,5.625,2.8,10
16,14,5.428571428571429,2.6153846153846154,12
17,48,6.791666666666667,4.829787234042553,42
18,16,7.125,3.3333333333333335,14
19,30,6.4,5.103448275862069,24
20,21,5.333333333333333,2.65,16
21,15,5.733333333333333,2.7857142857142856,14
22,33,5.878787878787879,4.0625,26
23,15,4.933333333333334,2.4285714285714284,10
24,14,5.714285714285714,3.0,12
25,18,6.111111111111111,3.0588235294117645,14
26,36,5.277777777777778,3.8285714285714287,26
27,34,5.588235294117647,3.0303030303030303,30
28,14,5.714285714285714,4.384615384615385,12
29,46,6.739130434782608,4.177777777777778,42
30,40,5.85,3.2564102564102564,30
31,21,5.333333333333333,2.7,16
32,20,5.2,2.4210526315789473,16
33,38,6.052631578947368,3.5675675675675675,30
34,22,5.7272727272727275,3.380952380952381,18
35,25,5.44,3.0416666666666665,20
36,27,5.851851851851852,3.3846153846153846,22
37,7,6.0,2.6666666666666665,6
38,15,4.533333333333333,2.357142857142857,12
39,23,6.956521739130435,3.0,20
40,21,6.0,3.05,18
41,10,4.8,2.0,8
42,28,6.142857142857143,3.259259259259259,24
43,44,5.863636363636363,3.7209302325581395,34
44,41,6.048780487804878,3.175,32
45,44,6.636363636363637,3.627906976744186,36
46,19,5.578947368421052,3.111111111111111,14
47,38,5.526315789473684,4.081081081081081,30
48,36,5.722222222222222,4.171428571428572,30
49,50,6.4,4.510204081632653,40
50,22,5.545454545454546,3.1904761904761907,18
51,32,6.75,4.032258064516129,28
52,19,6.0,2.8333333333333335,14
53,32,5.6875,3.032258064516129,30
54,20,6.3,2.736842105263158,18
55,44,5.7272727272727275,3.7209302325581395,36
56,53,6.113207547169812,3.519230769230769,44
57,16,4.625,2.3333333333333335,10
58,26,5.846153846153846,4.52,20
59,24,6.916666666666667,3.652173913043478,18
60,25,7.12,3.2083333333333335,22
61,14,5.428571428571429,3.4615384615384617,12
62,14,5.571428571428571,2.3076923076923075,10
63,3,2.0,1.0,2
64,26,6.230769230769231,3.28,22
65,17,5.529411764705882,2.75,14
66,7,3.7142857142857144,1.6666666666666667,6
67,26,6.538461538461538,3.24,22
68,26,5.846153846153846,3.44,24
69,12,5.5,2.6363636363636362,10
70,39,6.153846153846154,3.736842105263158,32
71,30,6.2,2.9310344827586206,26
72,33,6.484848484848484,3.5625,26
73,31,6.129032258064516,4.9,26
74,43,6.1395348837209305,3.357142857142857,36
75,17,6.0,2.25,14
76,29,6.689655172413793,3.7857142857142856,26
77,32,5.9375,3.4516129032258065,26
78,20,5.2,2.789473684210526,16
79,32,5.4375,3.225806451612903,26
80,27,6.888888888888889,3.3461538461538463,22
81,14,5.142857142857143,2.4615384615384617,12
82,30,6.2,3.7241379310344827,26
83,41,6.2439024390243905,3.525,32
84,17,5.764705882352941,3.625,14
85,46,5.782608695652174,3.088888888888889,34
86,27,6.148148148148148,3.1538461538461537,22
87,30,6.733333333333333,5.551724137931035,26
88,29,5.655172413793103,2.9642857142857144,24
89,30,5.2,2.586206896551724,20
90,31,6.838709677419355,3.5,28
