phrase_id,n,⟨k2⟩,<d>,q
0,48,6.833333333333333,2.9361702127659575,40
1,25,5.52,2.3333333333333335,22
2,58,6.517241379310345,4.315789473684211,42
3,44,6.7272727272727275,2.9767441860465116,36
4,19,5.578947368421052,2.5555555555555554,14
5,23,5.391304347826087,2.3636363636363638,16
6,15,7.2,2.5,12
7,39,6.461538461538462,3.9473684210526314,32
8,26,6.153846153846154,2.96,20
9,8,4.25,1.7142857142857142,6
10,34,5.588235294117647,3.242424242424242,26
11,22,6.2727272727272725,2.8095238095238093,18
12,29,6.206896551724138,2.9642857142857144,24
13,34,6.529411764705882,2.9696969696969697,26
14,26,6.384615384615385,2.72,22
15,22,6.545454545454546,3.142857142857143,20
16,21,5.428571428571429,2.25,18
17,56,7.5,3.5090909090909093,48
18,20,5.7,3.736842105263158,14
19,42,6.476190476190476,3.682926829268293,32
20,24,5.5,2.5652173913043477,20
21,21,5.428571428571429,2.65,18
22,38,6.105263157894737,3.4054054054054053,28
23,19,6.0,2.4444444444444446,14
24,21,5.809523809523809,2.65,14
25,25,5.76,3.0,20
26,41,5.7073170731707314,3.175,34
27,30,6.6,2.689655172413793,26
28,22,5.181818181818182,2.0,18
29,51,6.784313725490196,4.88,42
30,28,5.928571428571429,2.814814814814815,22
31,24,5.416666666666667,2.652173913043478,18
32,25,5.28,2.4166666666666665,20
33,41,5.853658536585366,3.75,32
34,32,6.75,3.3870967741935485,24
35,32,6.375,3.225806451612903,24
36,32,5.5625,2.838709677419355,26
37,12,4.833333333333333,2.5454545454545454,10
38,14,4.428571428571429,2.076923076923077,10
39,20,5.6,2.3157894736842106,16
40,28,6.214285714285714,3.4814814814814814,22
41,15,6.0,2.857142857142857,10
42,25,6.64,4.041666666666667,18
43,43,5.395348837209302,3.261904761904762,32
44,44,7.318181818181818,3.488372093023256,34
45,41,6.097560975609756,3.0,34
46,28,5.785714285714286,2.962962962962963,22
47,38,6.368421052631579,2.675675675675676,34
48,33,5.454545454545454,2.78125,20
49,48,6.791666666666667,2.765957446808511,42
50,22,5.7272727272727275,2.5238095238095237,18
51,28,5.642857142857143,2.6296296296296298,22
52,20,6.2,2.3157894736842106,16
