phrase_id,n,⟨k2⟩,<d>,q
0,28,5.642857142857143,3.740740740740741,18
1,13,4.3076923076923075,1.5,8
2,38,5.684210526315789,4.864864864864865,28
3,22,6.0,3.4285714285714284,12
4,8,4.25,2.0,6
5,14,4.571428571428571,2.1538461538461537,8
6,7,4.0,1.5,4
7,43,5.534883720930233,5.333333333333333,26
8,26,6.076923076923077,3.76,18
9,8,3.75,1.8571428571428572,6
10,18,5.555555555555555,2.6470588235294117,12
11,15,5.066666666666666,3.142857142857143,12
12,21,4.857142857142857,2.6,14
13,29,5.103448275862069,2.75,20
14,17,4.235294117647059,2.1875,12
15,12,4.333333333333333,1.9090909090909092,8
16,12,3.8333333333333335,2.090909090909091,6
17,29,4.896551724137931,2.892857142857143,18
18,13,4.461538461538462,2.5833333333333335,10
19,22,6.181818181818182,3.9523809523809526,16
20,14,4.142857142857143,2.076923076923077,6
21,11,3.8181818181818183,1.9,6
22,22,5.0,3.380952380952381,14
23,16,4.75,2.8666666666666667,8
24,17,5.294117647058823,2.0,10
25,16,5.625,3.466666666666667,10
26,25,4.56,3.0,14
27,18,4.333333333333333,2.176470588235294,10
28,13,4.461538461538462,2.0833333333333335,10
29,38,6.157894736842105,4.162162162162162,26
30,19,4.842105263157895,2.7777777777777777,12
31,15,4.4,2.2857142857142856,10
32,14,4.142857142857143,2.3076923076923075,10
33,21,4.666666666666667,3.5,14
34,28,5.0,3.6666666666666665,20
35,16,5.0,2.6,12
36,19,4.421052631578948,2.2777777777777777,8
37,8,3.5,1.7142857142857142,4
38,10,4.8,2.111111111111111,8
39,15,5.066666666666666,2.2142857142857144,12
40,14,4.857142857142857,3.076923076923077,12
41,9,3.7777777777777777,2.125,6
42,17,5.176470588235294,3.25,12
43,29,4.827586206896552,2.892857142857143,24
44,24,5.583333333333333,2.8260869565217392,14
45,28,5.214285714285714,2.6296296296296298,22
46,20,4.1,2.6315789473684212,10
47,28,4.785714285714286,2.5185185185185186,18
48,17,4.352941176470588,3.0,10
49,41,5.463414634146342,3.5,28
50,17,4.352941176470588,2.9375,10
51,20,5.5,2.210526315789474,14
52,11,4.545454545454546,2.5,6
53,23,4.869565217391305,2.9545454545454546,16
54,16,4.0,1.8666666666666667,8
55,28,4.785714285714286,2.0,14
56,29,4.896551724137931,2.75,18
57,11,3.8181818181818183,2.1,6
58,20,4.7,3.210526315789474,14
59,13,5.384615384615385,3.4166666666666665,10
60,14,4.857142857142857,3.076923076923077,12
61,11,3.8181818181818183,2.1,6
62,11,4.363636363636363,2.5,8
63,4,3.0,1.3333333333333333,4
64,13,4.923076923076923,2.1666666666666665,8
65,11,5.454545454545454,2.2,8
66,9,3.7777777777777777,1.625,6
