phrase_id,n,⟨k2⟩,<d>,q
0,36,7.222222222222222,3.7714285714285714,28
1,23,5.391304347826087,3.0454545454545454,20
2,35,5.942857142857143,3.323529411764706,28
3,33,6.606060606060606,3.84375,26
4,11,4.7272727272727275,2.3,8
5,15,5.6,3.0714285714285716,12
6,11,4.909090909090909,2.0,10
7,33,5.333333333333333,3.0,24
8,22,6.818181818181818,3.5238095238095237,18
9,7,4.857142857142857,2.1666666666666665,6
10,18,5.444444444444445,2.588235294117647,14
11,25,5.44,3.5416666666666665,20
12,25,5.2,3.3333333333333335,18
13,27,6.0,3.6923076923076925,22
14,20,5.2,3.1578947368421053,12
15,13,5.538461538461538,2.9166666666666665,8
16,10,4.4,2.7777777777777777,8
17,37,6.054054054054054,3.7222222222222223,24
18,14,6.0,3.769230769230769,12
19,25,5.92,4.083333333333333,20
20,21,6.095238095238095,4.0,16
21,12,4.5,2.272727272727273,10
22,29,5.655172413793103,3.0714285714285716,24
23,15,5.066666666666666,2.5714285714285716,12
24,15,5.066666666666666,3.2142857142857144,12
25,18,5.222222222222222,2.9411764705882355,14
26,25,5.44,3.6666666666666665,16
27,21,5.142857142857143,2.65,16
28,11,5.818181818181818,3.7,8
29,41,5.951219512195122,3.875,32
30,24,5.666666666666667,3.0869565217391304,16
31,17,5.764705882352941,3.0625,14
32,20,5.0,2.3157894736842106,16
33,25,5.76,3.2916666666666665,16
34,16,4.625,2.2666666666666666,10
35,23,6.0,3.0454545454545454,18
36,24,5.083333333333333,2.652173913043478,18
37,6,4.0,1.8,4
38,10,4.2,2.2222222222222223,6
39,17,5.764705882352941,2.9375,14
40,18,4.888888888888889,2.4705882352941178,12
41,6,4.0,1.8,4
42,19,5.2631578947368425,2.9444444444444446,16
43,34,5.764705882352941,3.090909090909091,24
44,35,5.942857142857143,3.088235294117647,28
45,32,5.4375,2.935483870967742,26
46,13,5.538461538461538,3.5,12
47,27,5.481481481481482,2.8461538461538463,20
48,17,5.176470588235294,3.3125,12
49,42,6.0476190476190474,4.609756097560975,34
50,18,4.888888888888889,2.6470588235294117,16
51,24,6.0,3.652173913043478,20
52,11,4.7272727272727275,3.3,8
53,28,5.0,3.037037037037037,20
54,13,4.923076923076923,3.6666666666666665,12
55,34,5.176470588235294,2.696969696969697,24
56,37,5.675675675675675,3.2777777777777777,26
57,15,4.266666666666667,2.2142857142857144,12
58,23,5.130434782608695,3.3181818181818183,14
59,23,7.304347826086956,3.8636363636363638,20
60,20,7.2,3.1578947368421053,16
61,16,7.5,3.066666666666667,12
62,10,5.0,2.111111111111111,10
63,3,2.0,1.5,2
64,12,4.833333333333333,2.090909090909091,10
65,16,5.875,2.8,14
66,7,3.7142857142857144,1.6666666666666667,6
67,31,8.516129032258064,5.466666666666667,28
68,24,5.833333333333333,3.391304347826087,20
69,13,5.6923076923076925,2.5,10
70,31,6.0,3.5,22
71,17,5.176470588235294,2.5,12
72,32,6.1875,4.193548387096774,26
73,23,6.956521739130435,3.0454545454545454,16
74,32,6.1875,4.774193548387097,22
75,12,4.666666666666667,3.1818181818181817,8
76,21,5.714285714285714,3.4,16
77,18,5.222222222222222,3.2941176470588234,14
78,16,4.75,2.933333333333333,12
79,20,4.7,2.8421052631578947,14
80,24,5.666666666666667,3.260869565217391,16
81,12,4.666666666666667,2.727272727272727,8
82,20,5.9,4.421052631578948,14
83,39,6.410256410256411,3.763157894736842,30
84,14,5.857142857142857,3.6923076923076925,10
85,49,5.795918367346939,3.0833333333333335,40
86,26,6.3076923076923075,4.32,20
87,30,7.066666666666666,4.689655172413793,28
88,27,5.851851851851852,3.076923076923077,22
89,35,5.485714285714286,2.911764705882353,28
90,30,5.8,5.310344827586207,22
91,25,5.28,4.25,20
92,34,5.705882352941177,3.3636363636363638,22
93,39,6.769230769230769,6.815789473684211,32
94,20,5.0,2.8947368421052633,16
95,36,5.333333333333333,4.228571428571429,20
96,11,5.090909090909091,2.8,8
97,17,5.176470588235294,2.6875,12
98,31,5.935483870967742,3.7,20
99,20,6.0,3.1578947368421053,16
100,21,5.809523809523809,3.7,14
101,39,5.487179487179487,3.026315789473684,30
102,18,5.111111111111111,2.5294117647058822,12
103,34,6.0,4.242424242424242,24
104,18,4.888888888888889,2.9411764705882355,12
105,32,5.875,5.0,24
106,29,5.931034482758621,3.857142857142857,20
107,34,5.529411764705882,3.484848484848485,24
108,28,5.428571428571429,3.962962962962963,20
109,37,5.783783783783784,3.2222222222222223,26
110,34,5.823529411764706,3.0606060606060606,26
111,11,5.2727272727272725,2.4,10
112,20,5.5,2.8421052631578947,18
113,19,6.0,2.7777777777777777,14
114,11,4.7272727272727275,2.3,8
115,34,5.352941176470588,2.8484848484848486,26
116,41,6.195121951219512,3.9,30
117,25,5.76,2.625,20
118,29,5.0344827586206895,2.7857142857142856,22
119,9,4.222222222222222,2.125,6
120,30,6.133333333333334,3.8620689655172415,24
121,15,4.933333333333334,2.2857142857142856,10
122,42,5.857142857142857,4.2926829268292686,34
123,16,5.0,2.4,12
124,12,4.5,2.272727272727273,10
125,5,3.2,1.75,4
126,25,5.84,4.25,18
127,21,6.666666666666667,3.05,16
128,18,5.888888888888889,2.4705882352941178,14
129,13,6.3076923076923075,2.6666666666666665,10
130,19,5.368421052631579,2.7777777777777777,14
131,18,5.333333333333333,2.588235294117647,12
132,23,4.695652173913044,3.272727272727273,20
133,31,6.645161290322581,4.766666666666667,26
134,11,5.818181818181818,2.8,8
135,17,5.294117647058823,3.1875,14
136,7,3.7142857142857144,2.3333333333333335,6
137,21,5.714285714285714,3.0,16
138,32,5.6875,3.0,22
139,19,4.947368421052632,2.388888888888889,14
140,14,4.571428571428571,2.3846153846153846,12
141,21,5.523809523809524,3.55,16
142,26,5.615384615384615,4.4,18
143,21,5.428571428571429,2.9,14
144,37,6.27027027027027,4.111111111111111,32
145,22,4.909090909090909,2.9523809523809526,16
146,27,7.037037037037037,3.4615384615384617,22
147,19,4.842105263157895,2.6666666666666665,12
148,10,4.6,2.111111111111111,6
149,4,3.0,1.3333333333333333,4
150,16,5.25,2.8,12
151,29,6.275862068965517,3.607142857142857,26
152,22,5.454545454545454,3.0476190476190474,16
153,23,5.304347826086956,3.3636363636363638,18
154,15,6.0,3.142857142857143,14
155,17,5.882352941176471,2.3125,12
156,27,5.62962962962963,3.0384615384615383,20
157,17,5.411764705882353,2.875,16
158,29,5.379310344827586,2.6785714285714284,24
159,15,4.8,2.7857142857142856,12
160,14,5.571428571428571,2.769230769230769,10
161,15,4.666666666666667,2.357142857142857,10
162,24,5.083333333333333,3.0,14
163,17,4.9411764705882355,3.125,12
164,12,4.833333333333333,2.090909090909091,10
165,19,5.157894736842105,2.7777777777777777,14
166,19,5.368421052631579,2.9444444444444446,14
167,14,5.0,2.3846153846153846,10
168,15,6.133333333333334,2.9285714285714284,12
169,9,4.0,1.625,8
170,16,5.375,3.6,14
171,4,3.0,1.3333333333333333,4
172,25,5.68,3.3333333333333335,22
173,14,5.142857142857143,2.5384615384615383,12
174,9,4.222222222222222,2.75,6
175,28,6.571428571428571,3.6296296296296298,24
176,5,3.2,1.5,4
177,12,5.0,2.1818181818181817,8
178,11,4.181818181818182,1.8,6
179,18,5.444444444444445,2.6470588235294117,14
180,13,5.076923076923077,3.1666666666666665,10
181,11,5.090909090909091,2.3,8
182,21,6.095238095238095,3.05,16
183,15,6.133333333333334,3.2857142857142856,12
184,16,5.25,2.8666666666666667,12
185,15,5.333333333333333,2.357142857142857,12
186,17,4.9411764705882355,2.875,12
187,5,3.2,1.75,4
188,6,4.0,1.8,4
189,20,5.2,2.736842105263158,12
190,17,5.411764705882353,3.125,12
191,24,5.333333333333333,3.1739130434782608,20
192,23,5.913043478260869,3.3181818181818183,20
193,19,4.421052631578948,2.5555555555555554,16
194,9,4.444444444444445,2.25,8
195,22,5.7272727272727275,3.4761904761904763,18
196,21,5.238095238095238,3.95,14
197,23,5.826086956521739,3.909090909090909,18
198,26,5.923076923076923,3.04,22
199,8,3.75,2.0,6
200,27,5.407407407407407,2.9615384615384617,22
201,31,5.483870967741935,3.3333333333333335,22
202,14,4.428571428571429,2.923076923076923,10
203,32,4.875,3.0,24
204,23,5.217391304347826,3.5,20
205,13,5.230769230769231,2.9166666666666665,12
206,11,5.818181818181818,3.8,8
207,31,6.0,3.6,22
208,22,5.818181818181818,2.761904761904762,16
209,4,3.0,1.3333333333333333,4
210,12,5.0,3.090909090909091,8
211,12,4.833333333333333,2.727272727272727,10
212,26,6.153846153846154,2.96,20
213,13,5.538461538461538,3.3333333333333335,8
214,21,6.476190476190476,3.95,16
215,16,5.125,3.066666666666667,14
216,11,4.363636363636363,2.4,8
217,17,5.0588235294117645,3.0625,10
218,28,6.571428571428571,4.111111111111111,24
219,26,6.076923076923077,3.88,22
220,18,6.0,4.0,16
221,25,6.32,3.625,22
222,32,5.625,2.806451612903226,24
223,8,4.25,2.857142857142857,6
224,7,4.857142857142857,2.0,6
225,29,6.0,2.857142857142857,18
226,30,6.2,4.241379310344827,22
227,22,7.0,4.476190476190476,18
228,23,5.739130434782608,3.727272727272727,16
229,10,4.2,1.8888888888888888,6
230,8,4.25,1.8571428571428572,6
231,36,6.444444444444445,4.8,28
232,29,6.137931034482759,4.178571428571429,22
233,7,6.0,2.0,6
234,9,4.888888888888889,1.875,8
