phrase_id,n,⟨k2⟩,<d>,q
0,42,6.238095238095238,3.3902439024390243,34
1,19,5.7894736842105265,2.7222222222222223,18
2,43,6.511627906976744,3.380952380952381,36
3,39,5.743589743589744,3.6315789473684212,32
4,14,5.428571428571429,2.4615384615384617,12
5,15,5.2,2.7857142857142856,10
6,10,4.4,2.111111111111111,8
7,52,5.846153846153846,3.6666666666666665,40
8,26,6.153846153846154,3.48,20
9,11,4.909090909090909,2.5,10
10,24,5.666666666666667,3.3043478260869565,20
11,23,5.565217391304348,3.227272727272727,20
12,29,6.137931034482759,3.642857142857143,22
13,30,5.4,3.5517241379310347,26
14,21,5.0476190476190474,2.85,18
15,17,5.411764705882353,3.125,12
16,12,5.5,2.4545454545454546,10
17,47,5.74468085106383,4.065217391304348,34
18,16,5.875,2.7333333333333334,14
19,29,5.655172413793103,2.9642857142857144,24
20,18,4.666666666666667,2.411764705882353,16
21,19,5.7894736842105265,2.6666666666666665,14
22,31,5.290322580645161,3.966666666666667,24
23,16,4.875,3.066666666666667,14
24,17,4.9411764705882355,3.125,12
25,16,5.25,3.1333333333333333,12
26,26,5.230769230769231,3.64,20
27,33,5.696969696969697,2.96875,24
28,16,5.625,3.6666666666666665,14
29,43,6.604651162790698,4.595238095238095,36
30,30,5.4,3.310344827586207,26
31,20,5.5,2.8421052631578947,14
32,22,5.363636363636363,2.5714285714285716,18
33,37,5.837837837837838,3.6944444444444446,28
34,15,5.333333333333333,2.5714285714285716,8
35,27,5.2592592592592595,4.269230769230769,22
36,27,5.777777777777778,3.1153846153846154,20
37,7,3.7142857142857144,2.1666666666666665,6
38,11,4.7272727272727275,2.4,8
39,15,5.6,2.642857142857143,12
40,21,4.9523809523809526,2.75,16
41,9,4.666666666666667,2.0,6
42,16,5.375,3.2,10
43,42,6.238095238095238,3.8780487804878048,34
44,38,5.684210526315789,3.108108108108108,32
45,30,5.533333333333333,3.413793103448276,22
46,16,5.25,2.6666666666666665,12
47,34,5.352941176470588,2.8484848484848486,30
48,24,5.333333333333333,3.739130434782609,20
49,44,5.5,4.0,34
50,21,5.142857142857143,3.2,16
51,25,5.28,3.4583333333333335,20
52,16,5.25,3.2,12
53,33,5.636363636363637,3.625,26
54,17,5.882352941176471,3.4375,12
55,46,5.521739130434782,3.1777777777777776,34
56,44,6.2272727272727275,3.627906976744186,42
57,21,5.0476190476190474,2.6,18
58,25,5.04,3.6666666666666665,22
59,21,5.714285714285714,2.9,16
60,23,6.521739130434782,5.045454545454546,18
61,18,5.666666666666667,3.176470588235294,14
62,17,5.882352941176471,2.6875,12
63,4,3.0,1.3333333333333333,4
64,22,5.363636363636363,2.7142857142857144,18
65,14,5.0,2.769230769230769,10
66,8,4.75,1.7142857142857142,6
67,27,7.62962962962963,3.9615384615384617,22
68,27,5.777777777777778,3.6153846153846154,20
69,13,5.076923076923077,2.9166666666666665,10
70,34,6.0588235294117645,3.606060606060606,26
71,25,5.28,2.6666666666666665,20
72,30,6.6,3.8620689655172415,26
73,30,6.466666666666667,3.5172413793103448,26
74,37,6.27027027027027,4.694444444444445,28
75,11,4.363636363636363,2.5,8
76,24,8.083333333333334,3.739130434782609,22
77,22,5.545454545454546,3.2857142857142856,18
78,21,5.0476190476190474,3.3,18
79,30,5.466666666666667,3.2413793103448274,24
80,24,6.416666666666667,3.260869565217391,22
81,14,5.428571428571429,2.6923076923076925,12
82,25,5.76,3.625,20
83,41,5.853658536585366,3.3,32
84,18,5.444444444444445,2.9411764705882355,14
85,46,6.0,3.066666666666667,36
86,25,5.28,2.875,20
87,25,6.24,4.25,20
88,28,5.857142857142857,3.2962962962962963,24
89,32,5.5,2.838709677419355,24
90,33,5.757575757575758,5.21875,26
91,17,4.9411764705882355,3.125,12
92,30,6.533333333333333,2.8620689655172415,24
93,38,5.7894736842105265,5.405405405405405,28
94,26,5.538461538461538,3.28,20
95,40,5.65,4.102564102564102,34
96,12,4.666666666666667,3.1818181818181817,8
97,21,5.428571428571429,2.8,14
98,33,6.545454545454546,3.625,28
99,21,6.095238095238095,3.25,16
100,20,5.5,3.210526315789474,14
101,36,5.666666666666667,3.2,28
102,30,5.733333333333333,3.0,20
103,36,5.833333333333333,3.6285714285714286,26
