phrase_id,n,⟨k2⟩,<d>,q
0,35,7.0285714285714285,3.911764705882353,26
1,18,5.555555555555555,3.0588235294117645,16
2,36,6.5,3.6,30
3,35,6.228571428571429,3.823529411764706,30
4,9,4.444444444444445,2.375,8
5,16,5.5,3.2,12
6,11,5.090909090909091,2.8,8
7,31,5.612903225806452,3.5,22
8,16,6.125,2.6,14
9,6,5.0,2.2,6
10,25,6.8,3.1666666666666665,18
11,19,6.2105263157894735,3.0,18
12,16,5.0,2.6,12
13,24,6.166666666666667,3.782608695652174,20
14,16,6.0,2.933333333333333,12
15,14,5.428571428571429,2.769230769230769,8
16,12,4.5,2.3636363636363638,10
17,33,6.363636363636363,4.0625,26
18,15,8.4,4.071428571428571,14
19,23,6.521739130434782,4.0,18
20,18,5.666666666666667,3.176470588235294,14
21,12,5.166666666666667,2.727272727272727,10
22,30,5.8,4.172413793103448,26
23,12,5.166666666666667,2.727272727272727,10
24,16,5.25,3.533333333333333,12
25,15,5.866666666666666,3.2142857142857144,12
26,26,5.6923076923076925,3.84,20
27,21,5.714285714285714,3.0,16
28,15,6.266666666666667,3.642857142857143,10
29,35,6.9714285714285715,4.264705882352941,28
30,19,5.157894736842105,3.2777777777777777,14
31,16,5.25,2.6,12
32,13,5.230769230769231,2.6666666666666665,12
33,21,6.476190476190476,3.4,16
34,21,6.190476190476191,3.05,14
35,20,6.1,3.3684210526315788,14
36,16,5.875,2.6,14
37,7,6.0,2.1666666666666665,6
38,8,4.25,2.142857142857143,6
39,10,5.6,2.5555555555555554,8
40,14,5.0,2.3846153846153846,10
41,8,5.75,2.2857142857142856,6
42,17,5.764705882352941,3.125,14
43,29,6.551724137931035,3.3214285714285716,22
44,31,6.193548387096774,3.566666666666667,28
45,28,6.142857142857143,2.925925925925926,24
46,13,5.076923076923077,2.9166666666666665,10
47,32,6.4375,3.3548387096774195,26
48,21,5.619047619047619,3.3,18
49,36,6.888888888888889,4.771428571428571,32
50,15,4.8,3.2857142857142856,12
51,22,6.636363636363637,3.7142857142857144,18
52,12,5.166666666666667,3.3636363636363638,10
53,25,5.68,3.6666666666666665,18
54,14,6.142857142857143,2.6923076923076925,14
55,33,5.818181818181818,3.09375,28
56,36,6.0,3.6285714285714286,28
57,16,4.875,2.466666666666667,10
58,20,5.7,3.526315789473684,14
59,21,6.476190476190476,3.7,16
60,15,6.0,2.7142857142857144,14
61,14,5.571428571428571,2.8461538461538463,10
62,8,4.75,2.0,6
63,4,3.0,2.0,4
64,17,5.647058823529412,2.875,12
65,14,5.714285714285714,2.8461538461538463,12
66,8,4.75,1.8571428571428572,6
67,24,7.833333333333333,3.739130434782609,20
68,22,6.181818181818182,3.2857142857142856,20
69,11,5.454545454545454,2.7,8
70,28,5.571428571428571,3.185185185185185,20
71,19,5.368421052631579,2.9444444444444446,14
72,28,5.857142857142857,3.4444444444444446,24
73,22,7.181818181818182,3.4761904761904763,18
74,26,5.6923076923076925,4.48,20
75,13,5.076923076923077,3.1666666666666665,10
76,25,6.88,3.9166666666666665,20
77,17,5.176470588235294,3.125,12
78,20,5.4,3.3684210526315788,16
79,20,5.1,2.8947368421052633,18
80,18,7.222222222222222,3.4705882352941178,14
81,13,4.923076923076923,2.8333333333333335,8
82,21,5.714285714285714,4.2,16
83,39,6.461538461538462,3.526315789473684,28
84,19,6.421052631578948,3.2222222222222223,14
85,43,5.534883720930233,3.357142857142857,26
86,23,5.6521739130434785,3.3636363636363638,18
87,28,6.714285714285714,4.37037037037037,24
88,25,6.4,3.2083333333333335,20
89,29,5.793103448275862,2.9285714285714284,24
90,24,6.0,2.9565217391304346,16
91,15,6.4,3.0,12
92,28,5.857142857142857,2.814814814814815,24
93,39,6.512820512820513,4.2368421052631575,30
94,24,6.25,3.217391304347826,18
95,31,5.870967741935484,4.1,22
96,13,5.538461538461538,2.9166666666666665,12
97,19,5.473684210526316,2.6666666666666665,16
98,31,6.258064516129032,3.6,22
99,18,6.111111111111111,2.823529411764706,14
100,18,5.555555555555555,3.3529411764705883,16
101,33,6.606060606060606,4.0,30
102,18,4.777777777777778,2.5294117647058822,14
103,37,6.108108108108108,3.8333333333333335,26
104,19,5.2631578947368425,2.5555555555555554,16
105,32,6.625,4.193548387096774,24
106,21,5.333333333333333,2.65,16
107,33,5.696969696969697,3.03125,28
108,22,5.818181818181818,3.857142857142857,20
109,38,6.368421052631579,4.1891891891891895,30
110,28,5.785714285714286,3.4814814814814814,22
111,10,5.4,2.2222222222222223,6
112,16,5.0,3.066666666666667,12
113,18,5.444444444444445,2.7058823529411766,14
114,13,6.0,2.6666666666666665,10
115,31,5.612903225806452,3.3333333333333335,26
116,37,5.675675675675675,3.5555555555555554,26
117,18,6.222222222222222,3.235294117647059,16
118,30,5.866666666666666,2.7586206896551726,24
119,7,4.857142857142857,2.0,6
120,28,5.928571428571429,3.4444444444444446,22
121,11,4.363636363636363,2.3,8
122,37,5.45945945945946,3.611111111111111,30
123,17,5.0588235294117645,2.5,14
124,17,7.294117647058823,2.9375,16
125,6,4.0,1.6,4
126,26,5.923076923076923,4.36,22
127,18,5.222222222222222,3.176470588235294,14
128,27,6.666666666666667,2.8846153846153846,24
129,11,4.7272727272727275,2.6,8
130,19,5.7894736842105265,3.2777777777777777,14
131,14,5.142857142857143,2.5384615384615383,12
132,16,5.375,2.533333333333333,10
133,26,6.538461538461538,3.92,22
134,14,7.428571428571429,3.076923076923077,12
135,19,5.578947368421052,3.2222222222222223,14
136,10,5.2,2.5555555555555554,8
137,18,5.888888888888889,2.8823529411764706,14
138,26,6.153846153846154,3.0,20
139,26,6.076923076923077,3.28,18
140,16,5.375,2.8666666666666667,14
141,20,5.6,3.0526315789473686,16
142,27,5.555555555555555,4.923076923076923,18
143,25,6.0,3.7916666666666665,18
144,33,7.818181818181818,3.875,30
145,16,5.75,3.2,12
146,22,6.7272727272727275,3.3333333333333335,16
147,18,5.666666666666667,3.0,14
148,11,5.090909090909091,2.4,8
149,5,4.0,1.75,4
150,15,4.933333333333334,2.5714285714285716,10
151,23,5.391304347826087,3.1818181818181817,20
152,26,6.384615384615385,3.8,22
153,21,5.428571428571429,2.95,14
154,17,6.235294117647059,2.875,14
155,21,6.095238095238095,2.8,16
156,26,5.6923076923076925,3.72,20
157,17,5.764705882352941,3.25,14
158,29,6.275862068965517,3.3214285714285716,26
159,16,5.5,2.6,12
160,15,5.6,3.142857142857143,12
161,13,4.769230769230769,2.8333333333333335,10
162,27,5.703703703703703,2.8846153846153846,22
163,19,5.7894736842105265,3.5555555555555554,18
164,14,5.571428571428571,2.3846153846153846,14
165,17,5.0588235294117645,2.5625,14
166,22,5.636363636363637,3.2857142857142856,16
167,18,5.666666666666667,3.2941176470588234,14
168,16,6.125,3.3333333333333335,14
169,9,4.222222222222222,2.25,6
170,18,6.333333333333333,4.647058823529412,18
171,5,4.0,1.5,4
172,23,6.521739130434782,2.8636363636363638,18
173,13,5.076923076923077,2.75,10
174,8,4.25,2.5714285714285716,6
175,28,6.928571428571429,3.5185185185185186,22
176,7,4.285714285714286,2.1666666666666665,6
177,13,5.230769230769231,2.9166666666666665,12
178,11,4.7272727272727275,2.5,8
179,13,6.615384615384615,3.0,10
180,15,5.466666666666667,3.9285714285714284,14
181,17,6.235294117647059,3.1875,14
182,19,6.526315789473684,3.1666666666666665,16
183,17,7.294117647058823,3.5625,12
184,16,5.25,2.8666666666666667,12
185,18,5.666666666666667,2.588235294117647,14
186,26,6.769230769230769,3.76,20
187,9,4.888888888888889,2.125,8
188,6,4.0,2.0,4
189,23,5.217391304347826,2.6363636363636362,16
190,13,5.538461538461538,3.1666666666666665,8
191,24,5.583333333333333,3.1739130434782608,18
192,25,6.32,3.4583333333333335,22
193,24,5.166666666666667,3.608695652173913,20
194,9,5.777777777777778,2.375,8
195,23,6.782608695652174,3.3181818181818183,16
196,22,5.636363636363637,2.619047619047619,16
197,26,7.230769230769231,4.8,20
198,19,5.578947368421052,2.888888888888889,14
199,11,4.909090909090909,2.0,10
