phrase_id,n,⟨k2⟩,<d>,q
0,31,5.290322580645161,3.7,24
1,17,4.9411764705882355,2.375,12
2,32,5.125,3.3870967741935485,24
3,21,5.142857142857143,2.95,16
4,8,4.25,2.0,6
5,7,3.4285714285714284,1.6666666666666667,4
6,8,4.75,1.7142857142857142,6
7,30,6.0,5.103448275862069,24
8,15,5.333333333333333,3.2142857142857144,12
9,8,4.75,1.8571428571428572,6
10,16,5.0,2.2,12
11,16,4.875,1.8666666666666667,10
12,16,4.75,2.2,12
13,26,5.3076923076923075,3.48,18
14,15,4.666666666666667,2.642857142857143,10
15,10,4.8,2.111111111111111,8
16,12,4.333333333333333,2.4545454545454546,8
17,35,5.6,3.0,24
18,15,7.333333333333333,3.0714285714285716,14
19,23,5.913043478260869,3.909090909090909,20
20,11,4.0,2.3,8
21,10,3.8,1.7777777777777777,6
22,25,5.68,3.75,18
23,11,5.090909090909091,2.0,8
24,12,5.5,2.727272727272727,10
25,16,5.625,2.6666666666666665,14
26,22,4.7272727272727275,3.8095238095238093,16
27,20,4.9,2.1052631578947367,14
28,20,5.9,3.4210526315789473,14
29,36,6.055555555555555,3.5142857142857142,26
30,23,5.478260869565218,3.6363636363636362,18
31,14,4.571428571428571,2.6153846153846154,8
32,16,4.875,2.8,10
33,21,5.333333333333333,4.35,16
34,17,4.588235294117647,3.75,10
35,17,4.9411764705882355,3.1875,12
36,16,5.25,2.6,12
37,9,4.444444444444445,2.375,8
38,9,4.0,2.25,4
39,12,4.666666666666667,1.8181818181818181,8
40,15,4.4,3.0714285714285716,10
41,9,4.222222222222222,2.375,6
42,17,5.0588235294117645,3.5625,10
43,30,5.066666666666666,3.2413793103448274,20
44,29,6.9655172413793105,3.7142857142857144,22
45,31,5.548387096774194,5.266666666666667,24
46,13,4.615384615384615,2.3333333333333335,8
47,27,4.7407407407407405,2.8846153846153846,16
48,18,4.888888888888889,2.5294117647058822,12
49,25,5.44,3.3333333333333335,16
50,14,4.571428571428571,2.4615384615384617,8
51,18,5.111111111111111,3.235294117647059,12
52,9,3.5555555555555554,1.625,4
53,24,4.916666666666667,3.8260869565217392,14
54,15,5.6,2.2142857142857144,12
55,33,5.333333333333333,2.78125,20
56,30,4.866666666666666,3.2413793103448274,22
57,18,4.666666666666667,2.9411764705882355,12
58,17,4.705882352941177,2.0625,12
59,15,5.6,3.7857142857142856,12
60,14,4.714285714285714,3.076923076923077,10
61,15,6.133333333333334,3.2857142857142856,12
62,9,4.222222222222222,1.875,6
63,4,2.5,2.0,2
64,12,4.166666666666667,2.090909090909091,6
65,11,5.2727272727272725,3.2,10
66,4,3.0,1.3333333333333333,4
67,24,7.25,3.8260869565217392,18
68,18,5.0,2.7058823529411766,14
69,11,5.090909090909091,2.2,8
70,25,6.0,2.9166666666666665,18
71,18,4.888888888888889,2.6470588235294117,12
72,22,6.0,3.5238095238095237,16
73,15,4.933333333333334,2.357142857142857,10
74,23,6.086956521739131,2.8636363636363638,20
75,13,4.615384615384615,2.75,8
76,24,7.0,3.217391304347826,20
77,20,5.2,2.789473684210526,16
78,16,4.25,2.4,8
79,21,4.476190476190476,2.95,14
80,14,4.714285714285714,2.4615384615384617,10
81,11,4.545454545454546,2.4,6
82,21,5.333333333333333,2.75,16
83,28,5.214285714285714,3.259259259259259,18
84,17,6.0,3.5625,14
85,30,5.2,3.9310344827586206,20
86,18,4.555555555555555,3.764705882352941,14
87,22,6.636363636363637,4.380952380952381,18
88,20,4.7,4.684210526315789,14
89,26,4.615384615384615,3.4,20
90,20,4.4,3.1578947368421053,12
91,13,5.076923076923077,2.3333333333333335,10
92,30,5.666666666666667,3.413793103448276,22
93,34,5.176470588235294,5.515151515151516,24
94,17,4.705882352941177,2.75,12
95,31,5.161290322580645,3.6666666666666665,20
96,9,4.0,1.5,8
97,18,4.666666666666667,2.235294117647059,16
98,24,5.0,2.9565217391304346,16
99,22,6.090909090909091,4.0,18
100,21,6.380952380952381,4.3,18
101,29,5.172413793103448,2.642857142857143,18
102,19,4.842105263157895,2.7777777777777777,16
103,34,5.470588235294118,3.484848484848485,22
104,15,5.333333333333333,2.0,8
105,34,5.705882352941177,3.9696969696969697,26
106,22,5.090909090909091,2.4285714285714284,16
