language,null,model1,model2,model3,model4,model5,model1p,model2p,model3p,model4p,model5p
arabic,954.9194473876601,963.4654710308,93.71700309053631,264.9664629532267,376.9907919554089,12.32777432303783,135.36013626222348,57.63473875947375,258.3183504431031,55.55989256586918,0.0
chinese,1484.0881926885086,1019.2550994369312,25.612653480288373,155.51868011951228,344.6429006234057,0.0,62.42207433788917,6.951420659268479,137.8498950213966,4.9617895299834345,0.09072276046617844
czech,1278.551942312818,1108.5488607178781,54.654934404393316,247.8552130230696,344.49601844347717,15.09127349581513,91.46004387887297,29.80502553007591,197.6921039442641,27.672435933362976,0.0
english,1562501238.1855307,811.155811701436,43.395542106296034,134.1662721446046,326.5719445790696,0.0,70.44963700938433,42.793298898841385,113.13136010376866,40.72979999280142,9.072299834420846
finnish,1165.5619148872993,975.3313368354939,62.15693855607742,238.22851168715079,259.9221083484522,8.903333870344795,100.97658829051534,24.456665118407273,181.30912943741532,22.459919587536206,0.0
french,1478.149767078547,939.0247501208455,131.700490931476,177.63108969740506,385.72746367420723,0.0,138.5398776029192,136.52952511298372,189.67227057257014,134.51074509617547,3.6687558917092247
galician,1531.2502560719804,1173.4013191104518,136.87494562220581,330.9124983455067,563.8933166977667,14.916872550410517,189.11303736510126,91.42888977463826,301.4172257001437,89.40168947115399,0.0
german,1704.3887320644408,1087.2619411337832,71.36499461467156,215.12631324364338,466.42975944802583,7.0837143099097375,110.60363561045551,47.31219223412654,209.93845035453796,45.24599108465918,0.0
hindi,1561.7813505267632,1046.7516310222945,36.901138010844534,155.2100647518041,553.5614196084066,3.8395612267577235,65.77572756342988,16.48443808005777,144.9010637466422,14.25559535678849,0.0
icelandic,1383.4774883715245,1081.70434676503,41.01973091463833,180.96503656479354,386.1026990307464,0.0,87.67070390551407,15.403636849383929,164.44311539755017,13.384608882135126,6.558525383686629
indonesian,1091.2924246580246,855.746529436195,109.77442459340409,304.0224938187771,582.7743942878283,5.7930883597446154,144.29760822367643,72.52719599181682,289.684216973154,70.47673919446106,0.0
italian,156251745.76290247,1276.7300266515008,63.291595227010475,186.8039241675874,511.05362131138054,6.477293319049295,100.23137324127993,32.57647517129726,182.2224107834113,30.452907348412282,0.0
japanese,156251651.9564895,941.723869369449,24.621238981330407,95.43618065622559,285.3440097338189,12.091250440911153,38.672913627828166,15.849696891739313,89.2499292666389,13.518896893626334,0.0
korean,771.2445837137225,928.176917707864,11.955836874401484,135.69970074179946,360.73491982372525,31.513073974122563,26.49402219598096,1.9570596075423055,107.050008578075,0.0,26.511091524696894
polish,1247.3891581277526,1133.7765245060882,100.57785140791202,235.86151066370212,521.4460971311578,16.151443814460436,125.0599685186362,67.07533972082274,229.4529636977818,65.04600561514553,0.0
portuguese,1601.0333042543625,1183.9169182501046,69.90849711291548,254.65134295459666,478.02422283257374,2.814646613660443,130.80932084831602,51.18807606226164,227.51249635204294,49.12802275568447,0.0
russian,1190.3711702938367,1099.9813309527813,45.196180722716235,238.02538508911903,304.3116622182006,0.0,84.66244894956253,18.29876616355341,198.57126681575846,16.274269558538435,5.738511418910093
spanish,1718751717.1748724,1351.9093517079089,44.87267825129243,195.5959046083169,559.6547314046218,5.655354321672576,80.34587114336091,31.364815759955718,183.64739379881325,29.34722329057513,0.0
swedish,1513.9514971683657,1051.2805953805255,68.64936992244884,180.3935358281542,395.06695426549913,0.0,96.6653546099974,41.557703793667315,150.6142051718016,39.52206587841192,2.7411849300924587
thai,901.2971519884672,779.6106816526199,113.62166236934809,164.69858302691728,541.352173743297,27.681526356911036,124.49605448574812,104.11764241261608,180.35841240754462,102.08317955932625,0.0
turkish,866.9499806335975,966.4946594987332,64.07464614672699,239.03580932775685,260.19972169683115,7.258284290059237,106.29675923327977,31.79920732035862,203.18897600002128,29.760403723544187,0.0
