language,null,model1,model2,model3,model4,model5,model1p,model2p,model3p,model4p,model5p
arabic,935.2884262717316,948.7422051938538,83.90149253257187,255.1509523952618,362.26752611846223,7.420019044055607,125.54462570425903,52.72698348049107,253.41059516412042,45.74438200790473,0.0
chinese,1469.364926851562,1009.4395888789668,20.704898201305696,150.61092484053006,334.82739006544125,0.0,57.51431905890604,6.951420659268479,137.84989502139615,0.0540342510012124,4.998478039447946
czech,1258.92092119689,1093.825594880932,44.83942384642933,238.03970246510562,329.77275260653096,10.183518216833363,81.64453332090852,24.89727025109414,192.78434866528278,17.856925375398987,0.0
english,1562501223.4622648,801.3403011434721,38.48778682731336,129.25851686562237,316.75643402110563,0.0,65.54188173040257,42.793298898841385,113.1313601037682,35.822044713819196,13.980055113403068
finnish,1145.9308937713704,960.6080709985472,52.34142799811252,228.41300112918543,245.19884251150506,3.995578591362573,91.16107773255044,19.548909839424596,176.4013741584331,12.644409029571761,0.0
french,1463.4265012416008,929.2092395628815,126.79273565249423,172.72333441842238,375.91195311624324,0.0,133.63212232393744,136.52952511298372,189.6722705725697,129.6029898171928,8.576511170691447
galician,1511.6192349560515,1158.6780532735047,127.05943506424137,321.09698778754137,549.1700508608201,10.009117271427385,179.29752680713682,86.52113449565559,296.5094704211606,79.58617891318954,0.0
german,1684.7577109485128,1072.538675296838,61.549484056707115,205.31080268567985,451.7064936110801,2.17595903092797,100.78812505249152,42.404436955144774,205.03069507555574,35.43048052669519,0.0
hindi,1543.2185234630588,1033.0965592375724,28.153821505104133,146.4627482460637,539.9063478236849,0.0,57.02841105768948,12.644876853299138,141.06150251988402,5.50827885104809,1.068194052223589
icelandic,1368.7542225345787,1071.8888362070666,36.111975635655654,176.05728128581177,376.2871884727829,0.0,82.7629486265314,15.403636849383929,164.44311539755017,8.476853603153359,11.46628066266885
indonesian,1071.6614035420962,841.0232635992488,99.9589140354401,294.2069832608122,568.0511284508821,0.8853330807623934,134.482097665712,67.61944071283506,284.7764616941713,60.66122863649616,0.0
italian,156251726.13188133,1262.0067608145546,53.47608466904603,176.98841360962297,496.3303554744343,1.5695380400675276,90.41586268331594,27.66871989231504,177.31465550442908,20.637396790447383,0.0
japanese,156251632.32546836,927.0006035325032,14.805728423366418,85.62067009826205,270.62074389687314,7.183495161929386,28.85740306986372,10.941941612757546,84.34217398765759,3.703386335662799,0.0
korean,761.4290731557585,923.2691624288818,11.95583687440103,135.699700741799,355.827164544743,36.420829253103875,26.494022195980506,6.864814886524073,111.9577638570563,0.0,36.32660208266134
polish,1227.758137011825,1119.0532586691425,90.76234084994849,226.04600010573813,506.7228312942125,11.243688535479123,115.24445796067266,62.16758444184143,224.54520841880003,55.23049505718154,0.0
portuguese,1583.4953918037559,1171.2867610784801,62.18609522027282,246.92894106195354,465.39406566094885,0.0,123.08691895567335,48.373429448600746,224.69784973838205,41.40562086304226,2.093108665321779
russian,1175.6479044568896,1090.1658203948173,40.288425443733104,233.11762981013635,294.49615166023614,0.0,79.75469367057985,18.29876616355341,198.571266815758,11.366514279555304,10.646266697891406
spanish,1718751697.5438514,1337.1860858709624,35.057167693327756,185.7803940503518,544.9314655676753,0.7475990426901262,70.53036058539601,26.45706048097327,178.7396385198308,19.531712732610686,0.0
swedish,1499.2282313314195,1041.4650848225615,63.74161464346662,175.48578054917152,385.2514437075347,0.0,91.75759933101517,41.55770379366777,150.61420517180113,34.614310599430155,7.648940209074681
thai,881.6661308725379,764.8874158156732,103.80615181138273,154.88307246895238,526.6289079063499,22.77377107792836,114.68054392778322,99.20988713363295,175.45065712856194,92.26766900136136,0.0
turkish,847.3189595176696,951.771393661787,54.25913558876255,229.2202987697924,245.47645585988494,2.3505290110774695,96.48124867531487,26.891452041376397,198.2812207210386,19.944893165580197,0.0
