language,model,n_params,R2,RSS,RSE,AIC,BIC
english,null,0,-2.587953255289792,2492.032514030529,1.8868085352295398,1562504347.1948853,1562505819.5214689
english,model1,1,-1.7174955341284255,1887.4513534412883,1.6432335587275197,3920.165166179828,5397.399505153451
english,model2,2,0.2957707116423166,489.126295425547,0.8371105093759488,3152.404896584688,4634.5469908372925
english,model3,2,0.2291962289262598,535.3659657134971,0.8757853337884437,3243.1756266229963,4725.3177208756015
english,model4,1,0.12742913014907187,606.0488595436804,0.9311405312323653,3435.5812990574614,4912.815638031085
english,model5,3,0.3191131897266666,472.91364988494985,0.8237103740531256,3109.0093544783917,4596.059204009979
english,model1p,2,0.2819363315322083,498.7350396295075,0.8452929161435041,3179.458991487776,4661.601085740382
english,model2p,3,0.3059209849047707,482.07636773793354,0.8316518003251858,3151.802653377233,4638.8525029088205
english,model3p,3,0.24174720729933274,526.648615189914,0.8692487688114496,3222.1407145821604,4709.190564113747
english,model4p,2,0.3059271436378105,482.0720901562907,0.8310521605974286,3149.739154471193,4631.881248723798
english,model5p,4,0.32340194689837587,469.9348701862668,0.8217017579409557,3118.0816543128126,4610.039259123382
arabic,null,0,-0.9381891077534248,981.8253197799337,1.18431735598429,3392.362522991707,4864.689106686348
arabic,model1,1,-1.4840721626489883,1258.352415506172,1.341722045706352,3400.908546634847,4878.14288560847
arabic,model2,2,0.49369785138928035,256.47666008255584,0.606172476900356,2531.1600786945833,4013.3021729471884
arabic,model3,2,0.38654902000626723,310.75487019932467,0.6672387506948558,2702.4095385572737,4184.551632809878
arabic,model4,1,0.3451177660634367,331.7426334617309,0.6889093134429226,2814.433867559456,4291.668206533079
arabic,model5,3,0.5236067270838136,241.32576932294316,0.5884173375764918,2449.770849927085,3936.820699458672
arabic,model1p,2,0.473639903099908,266.63738248810546,0.6180630879141585,2572.8032118662704,4054.9453061188756
arabic,model2p,3,0.5111220650717105,247.65010435472212,0.5960776917224677,2495.0778143635207,3982.1276638951076
arabic,model3p,3,0.40978362026615933,298.9849563457846,0.6549502005511462,2695.76142604715,4182.811275578737
arabic,model4p,2,0.511130781330001,247.64568897386533,0.5956452389458764,2493.002968169916,3975.1450624225213
