language,model1_b,model2_a,model2_b,model3_a,model3_c,model4_a,model5_a,model5_b,model5_c,model1p_b,model1p_d,model2p_a,model2p_b,model2p_d,model3p_a,model3p_c,model3p_d,model4p_a,model4p_d,model5p_a,model5p_b,model5p_c,model5p_d
english,0.7162663458932503,3.321424765435682,0.18738757569795164,4.904704869492312,0.00793671463902685,1.939495846612858,2.303727815116297,0.37816448320480056,-0.009528196547522226,0.4142902556553389,3.205746907954537,8943.47547502512,0.00012341960416168421,-8940.942965824599,8198.988898487822,6.0856149477346435e-06,-8194.231466771786,1.1042280411747623,2.531888633869268,5015.846418710961,0.0003949789767513653,-9.291752620465048e-06,-5014.936610676469
arabic,0.6787271042662921,2.7692524638532956,0.21392657738152931,4.288608053825913,0.009289473188579289,1.759684307672796,1.949075049753195,0.3996753154647417,-0.009426588359480063,0.42305901769986193,2.5840315011812565,9199.496282543478,0.00012231218462442538,-9197.588043724963,9015.915699079547,5.868451155076928e-06,-9011.797452617311,1.1256325416364303,1.9076492001125454,4061.831011290663,0.00044108232338247296,-9.051094327172923e-06,-4061.1206287036916
czech,0.7222802531464505,2.748706602334273,0.23617206707504954,4.356222580032499,0.01127245380646919,1.889768293415612,1.8402048783269678,0.4585468769992647,-0.012330162100804657,0.46201664326012437,2.6514037014991625,10929.0844494408,0.00011799061613853266,-10927.343391220667,11418.91905720849,5.8673424476304916e-06,-11414.773470553919,1.28997927669467,1.7404577594264627,3162.310648023316,0.0006603748274965888,-1.5269328520878665e-05,-3161.935793150552
german,0.712282755420787,3.1417649410388053,0.2042204556584129,4.789917426313219,0.008746106441174115,1.9306795527281935,2.252611322607293,0.3777133178367485,-0.00861518610330825,0.4326701567354877,3.059647380667442,9283.409719676394,0.00012795288915317998,-9281.154480230172,11998.877533364037,4.570535758787259e-06,-11994.259710898488,1.18829534830256,2.2546081684242347,2954.662990299413,0.000644719144980436,-1.2940487403879262e-05,-2953.727662937657
spanish,0.6712176015747319,3.1431388402154945,0.1839910585665602,4.683355315333366,0.007084512745810738,1.7937052928015176,2.2249371979336354,0.3574192029006694,-0.007969840203614768,0.393480137922476,2.9613755851852477,9999.19544500771,0.00010315836975720401,-9996.815866783034,10070.997501402107,4.219865406986911e-06,-10066.452009982164,1.0318348615742516,2.3790650150211494,5848.946885894272,0.00030495507868477195,-6.337239759064673e-06,-5848.006187737941
finnish,0.7724157741467197,2.5647125854462023,0.27353759662095894,4.188528466898563,0.015312537961563904,1.9936421753576798,1.6936262869497987,0.5233569196047142,-0.016041324025593197,0.5144892632435416,2.5260881633602636,8817.147135058336,0.00016830837441125183,-8815.750184229779,12633.640717975879,7.239128113280375e-06,-12629.725788136044,1.4846471784030686,1.3961373751156125,1207.90803350057,0.0019138857887823425,-4.8303550200227665e-05,-1207.809999623545
french,0.6698667494618507,3.439477438404345,0.1642749803689556,4.95010587364714,0.00603241283032907,1.8279732852320665,2.439560307199519,0.3308958751088696,-0.007151774805304049,0.37382613013484933,3.24685731977882,6342.204128515307,0.00015089148605168976,-6339.43430635204,8699.320776048055,4.2560586616667205e-06,-8694.479844630938,0.9574325735351946,2.769141591499555,3680.758770638572,0.00046753378407851437,-9.429662995705895e-06,-3679.5163112888076
galician,0.6710919751920502,3.11881645707275,0.18893820986958068,4.708851254602645,0.007138448752563686,1.8062332059915027,2.1704867123532905,0.37079280892944644,-0.008303466508599918,0.4000173160861826,2.9603584308050617,12888.178667537226,8.295478615938472e-05,-12885.871095379383,11329.912518641899,3.842221899573918e-06,-11325.353795653904,1.0694189664051312,2.307135770813009,5913.021605385669,0.0003107636417060128,-6.424969581109169e-06,-5912.175677386281
hindi,0.6820449001147025,3.2514922026104647,0.18533000744062814,4.851151714003187,0.0072324165714535045,1.8573572425598033,2.5593326439274584,0.3032094267339928,-0.005227800515397919,0.40295268786561683,3.116918956521062,5666.222674350397,0.00018883819509949394,-5663.747386820368,8572.975496803307,5.203156622851176e-06,-8568.261581575569,1.0706616683310781,2.474379615658565,2716.894690076532,0.0005638510275940392,-8.05876354311414e-06,-2715.324775700609
indonesian,0.7063727510309649,2.8833981880515362,0.21170684666699324,4.385076539403386,0.009890931890239582,1.8330885397441368,2.0637765449094507,0.3937900612380022,-0.009836169593431868,0.43072167151587293,2.718681129431111,8633.823942458288,0.0001318677248209704,-8631.777814195313,10414.671062963249,5.482408664082863e-06,-10410.451670556768,1.1389557623199222,2.045520602046791,4320.871300302052,0.00042699272414642496,-9.49475619912795e-06,-4320.06640541347
icelandic,0.7204313391235394,3.061814472419893,0.19997991182266595,4.522509655224158,0.009585207467267919,1.8885749636255458,2.3080259471525397,0.3559495148334042,-0.008608627966372014,0.42516177448883746,2.889988394707364,8448.985698734068,0.00012946316800827455,-8446.670426290873,13347.97007765475,4.223948113449716e-06,-13343.600680172298,1.0942214867850166,2.3147531198165754,2858.107925725434,0.0005960094972710951,-1.2588565916202914e-05,-2856.8539093350632
italian,0.6765943650781797,3.2792352580291095,0.17943097485531814,4.8531083674736895,0.006759968065163479,1.8404521985275988,2.245490141994868,0.36834972054224313,-0.008537602595882855,0.39289412070762825,3.122947111292682,9046.77809323312,0.00011500404900561029,-9044.266518436789,9126.385659425643,4.577258835779587e-06,-9121.66742439678,1.0408097361555735,2.510991100419956,5312.784182156729,0.00035638845936967323,-7.768809070211227e-06,-5311.9161884494215
japanese,0.651593884183791,3.5279441414584887,0.1610224793271915,5.170667203612721,0.005099782335255839,1.8140989684289022,2.5986737346051383,0.29855668541491054,-0.005071974705525166,0.367373040433402,3.380037932102236,7743.594498705048,0.00012566248062407934,-7740.791840437549,8044.289120014899,4.052782169668612e-06,-8039.2302830671715,0.9735133712720524,2.802030373748887,3383.2092755952717,0.0004849791890966238,-7.683462420414505e-06,-3381.8524377619397
korean,0.7020091792980242,2.6141970778258785,0.21603524962067683,3.893313655793814,0.01155431714279169,1.7186990504761424,2.1423567468437055,0.33187018119546685,-0.007058346633866407,0.42341441813714864,2.3280671303461644,6195.529047001351,0.00016552800268351386,-6193.595845779248,8331.332951005761,7.168862476920441e-06,-8327.594375255949,1.0259824786043166,1.9326240347078618,2165.234643749458,0.0006293341561563647,-1.0229581246705916e-05,-2163.8550744813006
polish,0.7138794311038247,2.826007371467966,0.21663784600907648,4.2965009253882975,0.010565168440476337,1.8363762960517966,1.942542775969919,0.42587314445578395,-0.011805045415153256,0.43662621428570836,2.6525123003719338,6875.87785891243,0.0001667621250692131,-6873.884684545045,8050.563790118793,7.480838717445489e-06,-8046.438201274362,1.1471723170143966,1.9924410178025542,2245.132548321238,0.0008510995899481867,-2.0730624171357676e-05,-2244.446322451956
portuguese,0.6748066759552264,3.091635095591089,0.1927838580929367,4.6899295583451215,0.007468061250993646,1.8127596273588116,2.1718227859928976,0.3703016424963429,-0.008170120772070126,0.405685037639097,2.942594668645456,8821.541739272745,0.0001233250315854937,-8819.275066286786,9991.519088207926,4.542762131852904e-06,-9986.982445084186,1.0883349872359793,2.2660825805170473,4916.228103406882,0.0003689660651652072,-7.347979434675891e-06,-4915.340871463455
russian,0.7020951403468161,2.740098954441685,0.2264276104483868,4.292437221031307,0.010464173328117936,1.8223578882476748,1.8856339105631275,0.43018607203951864,-0.010958168208019021,0.4440095459995192,2.5939622638833058,8885.619684351894,0.00013568848517351719,-8883.807060900872,9703.80562831986,6.244759994938339e-06,-9699.70478450517,1.2061383117813822,1.8119889001189826,3668.6212323245327,0.0005249503927043776,-1.1498248404576038e-05,-3668.0615490559208
swedish,0.7296488992296787,3.0166690451913754,0.2136694290537977,4.5916109126603075,0.010110411184386969,1.9338950625996643,2.2299478864960154,0.3785687422131875,-0.008942917809383019,0.4447560273812838,2.9126031202875713,8435.586638738625,0.0001422548346144621,-8433.439162581466,10263.01220807532,5.980084357338745e-06,-10258.598732480978,1.200477759397545,2.1468333593022155,2219.0755066790566,0.0008208651626346984,-1.636032641667821e-05,-2218.0193210010816
thai,0.6597471891190215,2.940924127324955,0.18874586116871903,4.37974648997943,0.007702783030329552,1.7130547067339088,2.0199968416189433,0.38316854400245814,-0.00947046411846854,0.39045102996731057,2.7005704996612345,9380.214910946153,0.00010628100892325103,-9378.008321548734,9130.022006835457,4.748587311917743e-06,-9125.776509096791,0.9972817650470114,2.2060612082334394,5462.993226517751,0.00032458762748834025,-7.457340713305487e-06,-5462.219420229004
turkish,0.7201007548764942,2.578804477255078,0.2371985578714805,4.006582536685131,0.012537454228652382,1.7960249381406688,1.7757712944428439,0.45511123049758684,-0.01337541649055292,0.4541546191444756,2.384005192038221,9289.079503687273,0.00012828901017965577,-9287.382548164143,13062.049160823057,5.240434130729362e-06,-13058.237550887807,1.1921061374785207,1.6963988081294412,3980.997828239285,0.0004838798688482346,-1.2339151605343344e-05,-3980.4892276993305
chinese,0.7035655011999655,3.0175837072459646,0.21036432461698928,4.645073397649109,0.009147834218093905,1.88876470208511,2.398291530648177,0.3292671892055522,-0.005821990133451626,0.4351349436457098,2.9188993458029864,8265.9203105427,0.00014365155917336742,-8263.788638438115,8640.499759415145,6.442301368945212e-06,-8636.02460692116,1.1879201793447616,2.1309554618685316,2244.5826835296643,0.00070316944278866,-9.228408731040188e-06,-2243.1744581476228
