language,N,mean_n,std_n,mean_k2,std_k2
english,1000,21.18,8.21,5.81,0.83
arabic,1000,20.75,8.61,5.22,0.71
czech,1000,18.61,7.76,5.39,0.82
german,1000,21.33,8.54,5.79,0.78
spanish,1000,23.28,9.44,5.54,0.63
finnish,1000,15.81,6.53,5.36,0.96
french,1000,24.73,10.01,5.76,0.68
galician,1000,23.51,9.8,5.58,0.69
hindi,1000,23.83,9.55,5.78,0.76
indonesian,1000,19.45,7.69,5.33,0.75
icelandic,1000,18.83,7.66,5.43,0.74
italian,1000,23.73,9.85,5.71,0.7
japanese,1000,28.79,10.99,6.0,0.72
korean,1000,16.58,6.67,4.73,0.65
polish,1000,18.38,7.42,5.23,0.72
portuguese,1000,23.41,9.48,5.6,0.69
russian,1000,19.36,8.04,5.27,0.75
swedish,1000,19.08,7.65,5.58,0.78
thai,1000,22.32,8.99,5.21,0.7
turkish,1000,16.88,6.63,4.97,0.71
chinese,1000,21.42,8.62,5.67,0.81
