"institution","city","type"
"University of Barcelona","Barcelona","University"
"University of New York","New York","University"
"University of Tokyo","Tokyo","University"
"University of Berlin","Berlin","University"
"University of London","London","University"
"University of Paris","Paris","University"
"University of Rome","Rome","University"
"University of Sydney","Sydney","University"
"University of Toronto","Toronto","University"
"Meta Barcelona","Barcelona","Company"
"Meta New York","New York","Company"
"Meta Tokyo","Tokyo","Company"
"Meta Berlin","Berlin","Company"
"Meta London","London","Company"
"Meta Paris","Paris","Company"
"Meta Rome","Rome","Company"
"Meta Sydney","Sydney","Company"
"Meta Toronto","Toronto","Company"
"Amazon Barcelona","Barcelona","Company"
"Amazon New York","New York","Company"
"Amazon Tokyo","Tokyo","Company"
"Amazon Berlin","Berlin","Company"
"Amazon London","London","Company"
"Amazon Paris","Paris","Company"
"Amazon Rome","Rome","Company"
"Amazon Sydney","Sydney","Company"
"Amazon Toronto","Toronto","Company"
"Nvidia Barcelona","Barcelona","Company"
"Nvidia New York","New York","Company"
"Nvidia Tokyo","Tokyo","Company"
"Nvidia Berlin","Berlin","Company"
"Nvidia London","London","Company"
"Nvidia Paris","Paris","Company"
"Nvidia Rome","Rome","Company"
"Nvidia Sydney","Sydney","Company"
"Nvidia Toronto","Toronto","Company"
"Microsoft Barcelona","Barcelona","Company"
"Microsoft New York","New York","Company"
"Microsoft Tokyo","Tokyo","Company"
"Microsoft Berlin","Berlin","Company"
"Microsoft London","London","Company"
"Microsoft Paris","Paris","Company"
"Microsoft Rome","Rome","Company"
"Microsoft Sydney","Sydney","Company"
"Microsoft Toronto","Toronto","Company"
