"paperId","authors","first_author","title","abstract","date","keywords","references","pub_name","venue_name","pub_vol","pub_type","pages","year"
"00000ec6adcb879a5d755ec1279594be7b509552","['1871080', '51935136', '1708312']","1871080","Team-Based Assignments in MOOCs - User Feedback","With the increasing use of graded team-based assignments on our MOOC platforms-openHPI, openSAP, and mooc.house-we see the need to consult the opinion of our course participants about their perception of these tasks and the sufficiency of the platform support. Since we introduced the feature in May 2016, seven courses that included team-based assignments have been conducted on our platforms. In four of these courses, we have conducted qualitative and quantitative surveys among the participants. The paper at hand presents and discusses the results of these surveys.","2020-01-01","['data processing', 'data querying', 'indexing']","['000a5a39a0a016f810c804e96b31e45dc2fc68cc', '001680f37d7814ae7ae5ecbc4b05ef0dc782d489', '00061f6bd4062126de51de0907a6441395a11610', '000ebc47980dd20fbdb803f9522e47db9d6b05fd', '0014622369bd84a22669010ca7e1d6288e52c47f', '0006be30654a942ae1d2623d6b6281b1b91b0b70']","Proceedings of International Summit of DB Gurus","International Summit of DB Gurus","Volume 1","Proceedings","84-146","2020.0"
"0000155335cf64aec7099d5e7eee8bb4d33807ca","['2111107765', '145409600', '2117843696', '51935136']","2111107765","High-Precision Anti-Disturbance Gimbal Servo Control for Control Moment Gyroscopes via an Extended Harmonic Disturbance Observer","In control moment gyroscopes (CMGs), the gimbal is expected to rotate at a low speed with high precision so that high-precision gyroscopic torque can be generated to realize high-precision spacecraft attitude control. However, there are complex and multiple disturbances in the gimbal servo systems, which may deteriorate the gimbal control performance to a great extent. In this paper, an extended harmonic disturbance observer (EHDO)-based composite controller is proposed to reject the effects of multiple disturbances on the control performance of gimbal servo systems. Firstly, an EHDO is developed for an mth-order model describing disturbance dynamics in which the rotor dynamic imbalance torque along gimbal axis is modeled as a harmonic, and the others are approximated as a polynomial. Compared with conventional extended disturbance observers, EHDO can estimate multiple disturbances with high precision even with a lower bandwidth. Secondly, a backstepping-based composite controller is designed to achieve high-performance gimbal control for CMGs. Finally, simulation and experimental results are presented to demonstrate the effectiveness of the proposed method.","2020-01-01","['data management', 'data querying', 'data modeling']","['001246ffc8ba91eda449a771a850dc6511973774', '0010746e2208c2681f734c8986f66bd2943c31b3', '0009bb60a3156707d9576d8e9b9aa5ea99e437f8', '00096679b345c9b690042564a7cb35355df3bd35', '000458c2651ab147d503429f6460aa80155e8e35', '000bd1e06b5813a19a9317d62d414b4042ce89ad', '000fabcf268cba8d152f934effe6d9b6b2413d9f', '0014214be477df88b91f8934c073c0bf87b36e84']","Proceedings of International Summit of DB Gurus","International Summit of DB Gurus","Volume 1","Proceedings","17-127","2020.0"
"00003fb6543527decf90df0ff3719396a8ee2330","['49268145', '2108206276', '98382562', '2108846942', '46213978', '2069043470']","49268145","Systematic co-optimization from chip design, process technology to systems for GPU AI chip","","2022-03-01","['systems biology', 'protein folding', 'genomics', 'optimization']","['000b387c2ade265cfe14735e7798f171ee580b65', '000e5f36122f81fec6a4bd034330bc0935e413a8', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","International Symposium on VLSI Technology, Systems, and Applications","International Symposium on VLSI Technology, Systems, and Applications","Vol. XY","Journal","67-140","2022.0"
"000047c60dbd59b7d616ac39f9ea364cae73016c","['2110616994']","2110616994","The existence of solutions for quasilinear elliptic problems with multiple Hardy terms","Abstract In this paper, we investigate the quasilinear elliptic equations involving multiple Hardy terms with Dirichlet boundary conditions on bounded smooth domains Ω ⊂ R N N ≥ 3 , and prove the multiplicity of solutions by employing Ekeland’s variational principle.","2022-03-01","['test-driven development', 'software architecture', 'DevOps', 'future trends']","['000d1326005323d520c13741b525f4698c57af9a', '0010963f374d625ad7fb42b64eb30de2244863d5', '000bf014a71283e739b3288783e0572dd4de7301', '000353fa52e0c081405fb396330a044a9105893f', '00038365f12a7fd41ff3d905416555c6b1c2c798', '00052cba36bea7aa225909f380dfba404210d2a3', '000171a6ae5a62b3d92ba541c8bbc6e7eda4d561', '0012d71008a6621be5aceafe88e8cbfcdb32cf61', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","Applied Mathematics Letters","Applied Mathematics Letters","81","Journal","23-130","2022.0"
"00004edcacf993a1c49c8faecbb7c89b8eab3f35","['51239934', '51240458', '49560206', '3346156', '1718186']","51239934","Shortest Paths with Ordinal Weights","We investigate the single-source-single-destination ""shortest"" paths problem in acyclic graphs with ordinal weighted arc costs. We define the concepts of ordinal dominance and efficiency for paths and their associated ordinal levels, respectively. Further, we show that the number of ordinally non-dominated paths vectors from the source node to every other node in the graph is polynomially bounded and we propose a polynomial time labeling algorithm for solving the problem of finding the set of ordinally non-dominated paths vectors from source to sink.","2022-03-01","['sequence alignment', 'transcriptomics', 'protein folding', 'optimization']","['0019b68187c437b2894b20ca0b4aa9abb4ef4808', '0013ff2301041de7805e828b80a3d11b0b0a10ba', '001614b52b8581e2cee8186c5f525d445f088a40', '0018087d027bc49a512fb9443cf190a2fb6b55c0', '0017fad0f68cae601fb28eca29b7e47a81c8c873', '00056e9691a9cdfbe8caed6f2d5c8f1fc19d4f1b', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","European Journal of Operational Research","European Journal of Operational Research","280","Journal","48-180","2022.0"
"00005167ed23b55c962632576e666cb3d0d81c30","['3456360', '1888283', '145717387', '2397331']","3456360","A Hybrid Approach to Recognising Activities of Daily Living from Object Use in the Home Environment","Accurate recognition of Activities of Daily Living (ADL) plays an important role in providing assistance and support to the elderly and cognitively impaired. Current knowledge-driven and ontology-based techniques model object concepts from assumptions and everyday common knowledge of object use for routine activities. Modelling activities from such information can lead to incorrect recognition of particular routine activities resulting in possible failure to detect abnormal activity trends. In cases where such prior knowledge are not available, such techniques become virtually unemployable. A significant step in the recognition of activities is the accurate discovery of the object usage for specific routine activities. This paper presents a hybrid framework for automatic consumption of sensor data and associating object usage to routine activities using Latent Dirichlet Allocation (LDA) topic modelling. This process enables the recognition of simple activities of daily living from object usage and interactions in the home environment. The evaluation of the proposed framework on the Kasteren and Ordonez datasets show that it yields better results compared to existing techniques.","2022-03-01","['design patterns', 'code refactoring', 'test-driven development', 'performance evaluation']","['001a9612cfcb36fb9241eca16a120680fbbf8cad', '000e19d19065a80445b88f8605a3677e196aad17', '001140ff5c269ac326f1b9d8afdaa358b020601f', '0016f55349d813c600b04f9f1b18d72ae8f69d49', '000624315b940a758038e97bb5ee4641f93ddc8b', '001ade1f8d2015d105a8391f18f0b8341046f3fa', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","Informatics","Informatics","5","Journal","66-154","2022.0"
"0000b6cfba1b8f74f83c361104fb9ebc5cf3307a","['153391047', '12205458', '4258618', '144408337', '12593622', '7392803']","153391047","Validation of a mobile app for reducing errors of administration of medications in an emergency","","2022-03-01","['transcriptomics', 'systems biology', 'computational biology', 'performance evaluation']","['0008361edcc4758424eaa2a9382075e6654de029', '0018888a90823167cccbeaab45b82f63d6fe4399', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","Journal of clinical monitoring and computing","Journal of clinical monitoring and computing","33","Journal","45-132","2022.0"
"0000fcfd467a19cf0e59169c2f07d730a0f3a8b9","['145690248', '3202968', '3431141', '144025741', '999999999']","145690248","Exploring Visual Relationship for Image Captioning","It is always well believed that modeling relationships between objects would be helpful for representing and eventually describing an image. Nevertheless, there has not been evidence in support of the idea on image description generation. In this paper, we introduce a new design to explore the connections between objects for image captioning under the umbrella of attention-based encoder-decoder framework. Specifically, we present Graph Convolutional Networks plus Long Short-Term Memory (dubbed as GCN-LSTM) architecture that novelly integrates both semantic and spatial object relationships into image encoder. Technically, we build graphs over the detected objects in an image based on their spatial and semantic connections. The representations of each region proposed on objects are then refined by leveraging graph structure through GCN. With the learnt region-level features, our GCN-LSTM capitalizes on LSTM-based captioning framework with attention mechanism for sentence generation. Extensive experiments are conducted on COCO image captioning dataset, and superior results are reported when comparing to state-of-the-art approaches. More remarkably, GCN-LSTM increases CIDEr-D performance from 120.1% to 128.7% on COCO testing set.","2018-06-01","['data management', 'indexing', 'big data', 'survey']","['00034cd7274e4b79e12e169adaf1ba6b64975403', '000c26bc5674c52c3413226dac620c1b594b9844', '000070ee82b6e444721274019eb105b8d4a6015f']","Proceedings of The Summit of Graph Databases 2018","The Summit of Graph Databases","abs/1809.07041","Proceedings","40-176","2018.0"
"00010bbec9c10e355cdd3b7b9479e92e0a405b3b","['51302388', '2316559532', '2808503', '999999999']","51302388","A Modified Approach to Huffman Algorithm for Unequal Bit Costs","","2019-06-01","['intrusion detection', 'malware analysis', 'blockchain', 'empirical analysis']","['000b490703723e1f5e07a79b458f852cca695447', '00063ea0239213bc9402c9682a222416b404220d', '00077e00481acb73962abedf99cc71dfeb497a08', '0012f93019012276fc1dfc7e5b043c0bf7428beb', '0003830701cafa5b75da97dc28163c0bd3ac0539', '00105f013232318a8bb90647558d516a5552cfb8', '000aa5d7c23a43503f2de2b188f99965808b0f56', '00177fa82254111c4e638f575525bc115858f6f7', '00082d0936a0bdeb2d1e9d23915d224d5031f5ee']","Proceedings of The Summit of Graph Databases 2019","The Summit of Graph Databases","Vol. XY","Proceedings","59-178","2019.0"
"000115f877c3a3fc77736afe620a22500188f3a5","['2115711229', '2109077611', '39369840']","2115711229","Sequential Subspace Clustering via Temporal Smoothness for Sequential Data Segmentation","","2022-03-01","['DevOps', 'test-driven development', 'continuous integration', 'case study']","['0000fcfd467a19cf0e59169c2f07d730a0f3a8b9', '000cbfdbcbce4825599d93ab7f4f36025814db62', '00002ea837f4c849477dd2706f676f6dba8d15d1', '001a30ecbc5bac45f79e54b82166db6d947da917', '0011394496e5924a8252843a55d527d8eaefcaa3', '00000ec6adcb879a5d755ec1279594be7b509552', '0000155335cf64aec7099d5e7eee8bb4d33807ca']","IEEE Transactions on Image Processing","IEEE Transactions on Image Processing","27","Journal","66-148","2022.0"
