"pub_name","venue_name","pub_year","pub_date","pub_vol","pub_type","isbn","city","edition_number","venue_type"
"Learning With MOOCS","Learning With MOOCS","2018","2018-09-01","48","Journal","nan","","",""
"IEEE Access","IEEE Access","2018","","31","Journal","nan","","",""
"International Symposium on VLSI Technology, Systems, and Applications","International Symposium on VLSI Technology, Systems, and Applications","2018","2018-04-16","6","Journal","nan","","",""
"Applied Mathematics Letters","Applied Mathematics Letters","2018","2018-07-01","23","Journal","nan","","",""
"European Journal of Operational Research","European Journal of Operational Research","2018","2018-08-28","43","Journal","nan","","",""
"Informatics","Informatics","2018","2018-01-13","43","Journal","nan","","",""
"Journal of clinical monitoring and computing","Journal of clinical monitoring and computing","2018","2018-08-02","15","Journal","nan","","",""
"European Conference on Computer Vision","European Conference on Computer Vision","2018","2018-09-08","abs/1809.07041","Proceedings","978-321218477","Paris","2021.0","Conference"
"2018 International Conference on Computer, Communication, Chemical, Material and Electronic Engineering (IC4ME2)","2018 International Conference on Computer, Communication, Chemical, Material and Electronic Engineering (IC4ME2)","2018","2018-02-01","Vol. XY","Proceedings","978-718085736","Barcelona","2022.0","Workshop"
"IEEE Transactions on Image Processing","IEEE Transactions on Image Processing","2018","2018-02-01","16","Journal","nan","","",""
"ArXiv","ArXiv","2018","2018-09-05","26","Journal","nan","","",""
"International Conference on VLSI Design","International Conference on VLSI Design","2018","","Vol. XY","Proceedings","978-341076808","New York","2019.0","Conference"
"International Journal of Semantic Computing","International Journal of Semantic Computing","2018","2018-12-01","37","Journal","nan","","",""
"Education and Information Technologies : Official Journal of the IFIP technical committee on Education","Education and Information Technologies : Official Journal of the IFIP technical committee on Education","2018","2018-10-31","14","Journal","nan","","",""
"2018 International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)","2018 International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)","2018","2018-03-03","Vol. XY","Proceedings","978-212945106","New York","2019.0","Workshop"
"2018 Aviation Technology, Integration, and Operations Conference","2018 Aviation Technology, Integration, and Operations Conference","2018","2018-06-24","Vol. XY","Proceedings","978-362937207","Sydney","2020.0","Conference"
"Fuzzy Systems and Data Mining","Fuzzy Systems and Data Mining","2018","","18","Journal","nan","","",""
"IEEE Military Communications Conference","IEEE Military Communications Conference","2018","2018-10-01","Vol. XY","Proceedings","978-355518154","London","2021.0","Conference"
"Italian National Conference on Sensors","Italian National Conference on Sensors","2018","2018-09-28","48","Journal","nan","","",""
"Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","International Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","2018","2018-10-26","35","Journal","nan","","",""
"International Conference on Intelligent Transportation Systems","International Conference on Intelligent Transportation Systems","2018","2018-11-01","Vol. XY","Proceedings","978-299529384","New York","2021.0","Conference"
"IET Communications","IET Communications","2018","2018-02-20","13","Journal","nan","","",""
"Long Island Systems, Applications and Technology Conference","Long Island Systems, Applications and Technology Conference","2018","2018-05-01","Vol. XY","Proceedings","978-898222817","Paris","2019.0","Conference"
"IEEE Transactions on Medical Imaging","IEEE Transactions on Medical Imaging","2018","2018-03-01","31","Journal","nan","","",""
"International Conference on Computing, Networking and Communications","International Conference on Computing, Networking and Communications","2018","2018-10-17","Vol. XY","Proceedings","978-655362479","Toronto","2019.0","Conference"
"IEEE International Geoscience and Remote Sensing Symposium","IEEE International Geoscience and Remote Sensing Symposium","2018","2018-07-01","14","Journal","nan","","",""
"Remote Sensing","Remote Sensing","2018","2018-08-06","25","Journal","nan","","",""
"Journal of Combinatorial Theory","Journal of Combinatorial Theory","2018","2018-12-04","21","Journal","nan","","",""
"Journal of Alzheimer's Disease","Journal of Alzheimer's Disease","2018","2018-06-08","31","Journal","nan","","",""
"Journal of Applied Probability","Journal of Applied Probability","2018","2018-06-01","8","Journal","nan","","",""
"IOP Conference Series: Earth and Environmental Science","IOP Conference Series: Earth and Environmental Science","2018","2018-10-30","190","Proceedings","978-566851676","Barcelona","2021.0","Conference"
"2018 32nd International Conference on Advanced Information Networking and Applications Workshops (WAINA)","2018 32nd International Conference on Advanced Information Networking and Applications Workshops (WAINA)","2018","2018-05-01","Vol. XY","Proceedings","978-538182381","New York","2022.0","Conference"
"Research on computing science","Research on computing science","2018","2018-12-31","37","Journal","nan","","",""
"Pedagogy in Health Promotion","Pedagogy in Health Promotion","2018","2018-12-01","23","Journal","nan","","",""
"International Symposium on Empirical Software Engineering and Measurement","International Symposium on Empirical Software Engineering and Measurement","2018","2018-10-11","13","Journal","nan","","",""
"Australian Software Engineering Conference","Australian Software Engineering Conference","2018","2018-11-01","Vol. XY","Proceedings","978-548584688","Paris","2021.0","Conference"
"Medical and Biological Engineering and Computing","Medical and Biological Engineering and Computing","2018","2018-06-28","24","Journal","nan","","",""
"Cybersecurity and Cyberforensics Conference","Cybersecurity and Cyberforensics Conference","2018","2018-07-01","Vol. XY","Proceedings","978-813091254","Tokyo","2018.0","Conference"
"International Symposium on Circuits and Systems","International Symposium on Circuits and Systems","2018","2018-05-01","36","Journal","nan","","",""
"Journal of Vision","Journal of Vision","2018","2018-05-01","41","Journal","nan","","",""
"Secur. Commun. Networks","Secur. Commun. Networks","2018","2018-06-06","48","Journal","nan","","",""
"Multimedia tools and applications","Multimedia tools and applications","2018","2018-12-08","42","Journal","nan","","",""
"International Conference on Industrial Technology","International Conference on Industrial Technology","2018","2018-02-01","Vol. XY","Proceedings","978-887872336","Tokyo","2020.0","Workshop"
"International Conference on Applied System Innovation","International Conference on Applied System Innovation","2018","2018-04-01","Vol. XY","Proceedings","978-566610433","London","2020.0","Conference"
"International Journal of Engineering &amp; Technology","Engineering &amp; Technology","2018","2018-11-30","5","Journal","nan","","",""
"Journal of Theoretical Biology","Journal of Theoretical Biology","2018","2018-06-01","2","Journal","nan","","",""
"Proceedings of the 12th Workshop on Geographic Information Retrieval","International Proceedings of the 12th Workshop on Geographic Information Retrieval","2018","2018-11-06","30","Journal","nan","","",""
"NeuroImage","NeuroImage","2018","2018-07-01","33","Journal","nan","","",""
"IEEE Power India International Conference","IEEE Power India International Conference","2018","2018-12-01","Vol. XY","Proceedings","978-970513592","Tokyo","2021.0","Workshop"
"","","2018","2018-12-12","10847","Proceedings","978-386677332","London","2019.0","Conference"
"Scientific Reports","Scientific Reports","2018","2018-09-10","39","Journal","nan","","",""
"2018 International Conference on Smart Systems and Inventive Technology (ICSSIT)","2018 International Conference on Smart Systems and Inventive Technology (ICSSIT)","2018","2018-12-01","Vol. XY","Proceedings","978-553268587","London","2018.0","Workshop"
"International Conference on Information Technology & Systems","International Conference on Information Technology & Systems","2018","2018-01-10","42","Journal","nan","","",""
"Journal of medical systems","Journal of medical systems","2018","2018-05-01","21","Journal","nan","","",""
"Entropy","Entropy","2018","2018-01-10","35","Journal","nan","","",""
"Applications of Intelligent Systems","Applications of Intelligent Systems","2018","","44","Journal","nan","","",""
"Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","2018","2018-04-20","22","Journal","nan","","",""
"Scholarly Horizons: University of Minnesota, Morris Undergraduate Journal","Scholarly Horizons: University of Minnesota","2018","2018-06-21","28","Journal","nan","","",""
"arXiv.org","arXiv.org","2018","2018-02-01","35","Journal","nan","","",""
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks","IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks","2018","2018-06-01","34","Journal","nan","","",""
"Journal of Computational Chemistry","Journal of Computational Chemistry","2018","2018-10-14","43","Journal","nan","","",""
"International Conference Intelligent Data Communication Technologies and Internet Things","International Conference Intelligent Data Communication Technologies and Internet Things","2018","2018-08-07","Vol. XY","Proceedings","978-980384047","Barcelona","2021.0","Conference"
"PLoS ONE","PLoS ONE","2018","2018-04-04","44","Journal","nan","","",""
"Molecules","Molecules","2018","2018-05-23","5","Journal","nan","","",""
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","2018","2018-04-01","38","Journal","nan","","",""
"International Conference on Social Networks Analysis, Management and Security","International Conference on Social Networks Analysis, Management and Security","2018","2018-09-04","Vol. XY","Proceedings","978-828456972","Paris","2019.0","Conference"
"Electronic Markets","Electronic Markets","2018","2018-05-01","31","Journal","nan","","",""
